,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0x8578234f9663e561f769ac959a280a6789a6f0fb28fc57eff70bd37b70b7470a,Success,Confirmed within 59 secs,0.006146465673645532 Ether ($10.97),0.00310695 Ether ($5.54),0.00000014795 Ether (147.95 Gwei),"40,000","21,000 (52.5%)"
1,0x1dd00d46ce0b72d58c78fe7e1a64838c428a489e56a68c2581c8fc2845139938,Success,Confirmed within 59 secs,0 Ether ($0.00),0.0376381841 Ether ($67.17),0.00000014795 Ether (147.95 Gwei),"282,709","254,398 (89.99%)"
2,0x38116c5f956632bba676752874f226b8881415ea435f31f8f453144ca23938d0,Success,Confirmed within 59 secs,0 Ether ($0.00),0.0254181059 Ether ($45.36),0.00000014795 Ether (147.95 Gwei),"213,750","171,802 (80.38%)"
3,0xd7b871de6e52963293ab83d0ea27431a1819474d2349a5ebefd6c0bc659a82bf,Success,Confirmed within 59 secs,0 Ether ($0.00),0.01341359085 Ether ($23.94),0.00000014795 Ether (147.95 Gwei),"240,390","90,663 (37.71%)"
4,0x0a2fb89b3fe8a783f68144ab9661537e9249d5120cdd9568d1836b77a96a3662,Success,Confirmed within 1 min:4 secs,"226.03809305 Ether ($403,389.84)",0.00310695 Ether ($5.54),0.00000014795 Ether (147.95 Gwei),"21,000","21,000 (100%)"
5,0x1cf6de91505d7b5a4949737c3f13b21164af9816a57eaacb0d61c114cbe145eb,Success,Confirmed within 1 min:4 secs,0 Ether ($0.00),0.00609509615 Ether ($10.88),0.00000014795 Ether (147.95 Gwei),"41,197","41,197 (100%)"
6,0x1181b1e5f94b5a806e2c1cba6d86beb87af013cf005c2d29d558d36652157d6e,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 1 min:4 secs,0 Ether ($0.00),0.0050453909 Ether ($9.00),0.00000014795 Ether (147.95 Gwei),"210,662","34,102 (16.19%)"
7,0x644624ad8f7b8548f60506f5a90ce02896ca80775703b1e4c431bf4e1407cc73,Success,Confirmed within 1 min:4 secs,0 Ether ($0.00),0.01350324855 Ether ($24.11),0.00000014795 Ether (147.95 Gwei),"188,763","91,269 (48.35%)"
8,0x57d0615f7491ebb7c7f8138f1eadf05382ef2e401bfa70636dce81b28ebfbf7b,Success,Confirmed within 1 min:4 secs,0 Ether ($0.00),0.03083943775 Ether ($55.05),0.00000014795 Ether (147.95 Gwei),"270,297","208,445 (77.12%)"
9,0x0a4e93550b48828ca083b31bb959cac17aad044ddfb983713a88e32cde0a5ab8,Success,Confirmed within 1 min:4 secs,0 Ether ($0.00),0.00658747375 Ether ($11.76),0.00000014795 Ether (147.95 Gwei),"48,977","44,525 (90.91%)"
10,0x69b8368a1d89cb15947cbd519227399a86ec42b683dbbdc78393ae1e0fc09597,Success,Confirmed within 1 min:4 secs,0 Ether ($0.00),0.00669814035 Ether ($11.96),0.00000014795 Ether (147.95 Gwei),"75,000","45,273 (60.36%)"
11,0x4a118ce6edb4fbc8c2b495bebe95e90b449d2ad07ddfcdae7a9a5addf1319bca,Success,Confirmed within 1 min:4 secs,0 Ether ($0.00),0.0133782308 Ether ($23.88),0.00000014795 Ether (147.95 Gwei),"135,636","90,424 (66.67%)"
