,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0x928a9af0b70d2c2b6853017965b1baf11673dcb2f710ef848d72886c1f1e92b7,Success,Confirmed within 1 min:15 secs,0 Ether ($0.00),0.020271993 Ether,0.000000141 Ether (141 Gwei),"186,297","143,773 (77.17%)"
1,0xa940aa78e69d048114865383e446187ab4b8c765ba1daf8edcecf9bf02710192,Success,Confirmed within 1 min:15 secs,0 Ether ($0.00),0.006220638 Ether,0.000000141 Ether (141 Gwei),"66,177","44,118 (66.67%)"
2,0x5e90816e684242d77223e5d842e4dc23b0c006156995bb16088e18b00f2cba8e,Success,Confirmed within 1 min:39 secs,0 Ether ($0.00),0.005989821 Ether,0.000000141 Ether (141 Gwei),"55,565","42,481 (76.45%)"
3,0xfec64116ec60745cf2b48a40b56577c454c7fc82870dbea8ccf8125be6492188,Success,Confirmed within 5 mins:30 secs,0.3 Ether,0.002961 Ether,0.000000141 Ether (141 Gwei),"21,000","21,000 (100%)"
4,0xc38395a19a09669158987d2de99d74038f60c133d179ee67cad5b3808d515716,Success,Remove,2.7 Ether,0.002982 Ether,0.000000142 Ether (142 Gwei),"21,000","21,000 (100%)"
5,0x8cba756ad2953e79ff765af1e896b2ac8660b2daed57c88f3687c38084831937,Success,Confirmed within 32 secs,0 Ether ($0.00),0.005851678 Ether,0.000000142 Ether (142 Gwei),"65,000","41,209 (63.4%)"
6,0x19063971749dab7fd7d292523ae6209efdc2da17d486ce93ec475076fcd9560b,Success,Confirmed within 27 secs,0 Ether ($0.00),0.00797997408199 Ether,0.000000142000001459 Ether (142.000001459 Gwei),"60,000","56,197 (93.66%)"
7,0xde3f7d0081a3b72af408ced12ada3240f8c6ec1345965a222ba33235405dbf51,Success,Confirmed within 51 secs,0 Ether ($0.00),0.007981678082 Ether,0.000000142000001459 Ether (142.000001459 Gwei),"60,000","56,209 (93.68%)"
8,0xe0fde34e2a3f510bedf49d41d9e136e8c5fd31aa9c2caebf6a02138824f78d15,Success,Confirmed within 1 min:30 secs,0 Ether ($0.00),0.00585167806012 Ether,0.000000142000001459 Ether (142.000001459 Gwei),"60,000","41,209 (68.68%)"
9,0xb23567c48228365f867699757afaf09c01281359bc268c9f9c86054236043ec0,Success,Confirmed within 1 sec,0 Ether ($0.00),0.016694964 Ether,0.000000143 Ether (143 Gwei),"350,000","116,748 (33.36%)"
10,0x8b18f135ad987d345ffa4683572783459ac326b7368ff3f4bcd1ecb9806d380b,Success,Confirmed within 1 sec,0.08 Ether,0.017735003 Ether,0.000000143 Ether (143 Gwei),"177,971","124,021 (69.69%)"
11,0xd9de516e4ff2fa51f333cb53fab76e882b0713d3ddf2078fcdc6fac393af6463,Success,Confirmed within 1 sec,1 Ether,0.003003 Ether,0.000000143 Ether (143 Gwei),"21,000","21,000 (100%)"
12,0x6428c5f168aec237429ebf8483ad14f8d80f20ea54b221109657c87d110b9a90,Success,Remove,0.018 Ether,0.003003 Ether,0.000000143 Ether (143 Gwei),"21,000","21,000 (100%)"
13,0xba612e304fedcdaaf36689fd5e452a6f2ca84d3d3f465afe3fdcdf442c54a13e,Success,Confirmed within 1 sec,0.04 Ether,0.028796053 Ether,0.000000143 Ether (143 Gwei),"213,325","201,371 (94.4%)"
14,0x325214f319b74fe3e940ac461b2548171fba312169e8e10fa9a7f315d8e5d85c,Success,Confirmed within 1 sec,0.417386155641337132 Ether,0.025295556 Ether,0.000000143 Ether (143 Gwei),"228,830","176,892 (77.3%)"
15,0xd6bf3f60fe74d2f430ec82dd7baf6d4d7f6aabebfb529fa89cae3d91b2798db6,Success,Confirmed within 6 secs,0.910911975726988657 Ether,0.021022716 Ether,0.000000143 Ether (143 Gwei),"202,743","147,012 (72.51%)"
16,0xb8efc0d5018f2463f23a5d0cb9debee66e46b63fbe9e99f5afca45353786195e,Success,Confirmed within 6 secs,1 Ether,0.01580865 Ether,0.000000143 Ether (143 Gwei),"149,479","110,550 (73.96%)"
17,0x02611c7c980dd7b29e43d62df032705c14d6f775a90a4953d418dd6a54eae6bf,Success,Confirmed within 11 secs,0.0312290802017512 Ether,0.019167434 Ether,0.000000143 Ether (143 Gwei),"175,254","134,038 (76.48%)"
18,0xdfd54f40c53b6ec2898a58fc1a67e1ab5438a0d28360974065141d24aa94cca0,Success,Confirmed within 17 secs,0.17 Ether,0.016338179 Ether,0.000000143 Ether (143 Gwei),"153,627","114,253 (74.37%)"
19,0x3c653cccb392240349b1fb9ea4b43e3d367d90239bc448a6199d6a319f2d71f2,Success,Confirmed within 17 secs,0.018 Ether,0.003003 Ether,0.000000143 Ether (143 Gwei),"21,000","21,000 (100%)"
20,0x06ee4def710d1496b1d9e143df33f4379d66ff104ac1d0abddfe9c3d9c96773f,Success,Confirmed within 17 secs,0 Ether ($0.00),0.006364644 Ether,0.000000143 Ether (143 Gwei),"48,958","44,508 (90.91%)"
21,0x2da9bb7b7462ed288fc8723cf461df639759a7f34d0f0ac5d19b73d449be63a8,Success,Confirmed within 27 secs,0.018 Ether,0.003003 Ether,0.000000143 Ether (143 Gwei),"21,000","21,000 (100%)"
22,0x37bd51ed595c7caec5491d8a30f4e2269c8e0aacd2470b8a61b57847296acdc2,Success,Confirmed within 32 secs,0 Ether ($0.00),0.011541816 Ether,0.000000143 Ether (143 Gwei),"144,813","80,712 (55.74%)"
23,0x444efb5a69d4a7c2748783b9fb728178af5533bf1102289bf4a087480c39f611,Success,Confirmed within 1 min:0 secs,0 Ether ($0.00),0.006343194 Ether,0.000000143 Ether (143 Gwei),"48,793","44,358 (90.91%)"
24,0x855d1086fa2f0050c37cfdad9c31e15d5921e14df21ff5933e79ea625031b175,Success,Confirmed within 1 min:5 secs,1.3 Ether,0.017950361 Ether,0.000000143 Ether (143 Gwei),"152,796","125,527 (82.15%)"
25,0xbd6f98a4bc197c5fa845cb5c8a55625d71b12f5ca83513d7d0d5cbec351428c5,Success,Confirmed within 1 min:10 secs,0.008264796 Ether,0.003003 Ether,0.000000143 Ether (143 Gwei),"21,000","21,000 (100%)"
26,0x62c0ec7f300bbdc6a1a3207de6fc410376a5dc58b5443e1946e1a5cec4b4b55c,Success,Confirmed within 1 min:15 secs,0.1 Ether,0.028799485 Ether,0.000000143 Ether (143 Gwei),"213,349","201,395 (94.4%)"
27,0x3b28bb55d9caaabd422e85107c44f87547dd1291d2406d5ed5d20a24dc0e230f,Success,Confirmed within 1 min:15 secs,0.008246503923537166 Ether,0.003003 Ether,0.000000143 Ether (143 Gwei),"21,000","21,000 (100%)"
28,0xd383b1d3c3de4ba86eb91ab9cc9f89d530ceccd1c0eaa39471328998937022b6,Success,Confirmed within 1 min:25 secs,0.07 Ether,0.003003 Ether,0.000000143 Ether (143 Gwei),"21,000","21,000 (100%)"
29,0x42dd8035f6748ac741949a077230acfc7af666a8402594eaf42e3367fbe66770,Success,Confirmed within 46 secs,0 Ether ($0.00),0.008319024 Ether,0.000000144 Ether (144 Gwei),"100,000","57,771 (57.77%)"
30,0xf1cc7372f24a09878f8068ead01c2687b5a0cd6ad25115804a3389cb0eec3460,Success,Confirmed within 1 min:39 secs,0 Ether ($0.00),0.014834304 Ether,0.000000144 Ether (144 Gwei),"136,822","103,016 (75.29%)"
31,0x5bbaf443f701c5aac8150786c88db6a50e012f7094a6c7f213beedb518662928,Success,Confirmed within 1 min:40 secs,0 Ether ($0.00),0.005350176 Ether,0.000000144 Ether (144 Gwei),"78,231","37,154 (47.49%)"
32,0x085d3de8d2c03b4475f1137463202ed0751a041b12311546f672442f762ad26d,Success,Confirmed within 11 secs,0 Ether ($0.00),0.008150305 Ether,0.000000145 Ether (145 Gwei),"67,451","56,209 (83.33%)"
33,0xe9323b1c16c6a102f219b6ec6a651d314b9eb9e6d62393120f329eff33eb738d,Success,Confirmed within 27 secs,0 Ether ($0.00),0.02676874 Ether,0.000000145 Ether (145 Gwei),"201,403","184,612 (91.66%)"
34,0xfea9354e0c8df4ed0c21fd6a1a97417e76cea695ed446d6f792918ca71086850,Success,Confirmed within 27 secs,0 Ether ($0.00),0.0186673 Ether,0.000000145 Ether (145 Gwei),"156,206","128,740 (82.42%)"
35,0xd634698376f87c8dc6acbb62b8ccabe2feff379a24a6f4c3aaa76829dd8a9ef5,Success,Confirmed within 37 secs,0.3366 Ether,0.003045 Ether,0.000000145 Ether (145 Gwei),"21,000","21,000 (100%)"
36,0x9a5e5ac8e2b5fe1819a020c5f30f496360a2be8e34eb74298dc13e4abb5c534a,Success,Confirmed within 41 secs,0 Ether ($0.00),0.006456125 Ether,0.000000145 Ether (145 Gwei),"48,977","44,525 (90.91%)"
37,0x31b887af9039425ebf1dbbcdfbccebd3c9f28f3a9174158982a051a16a503002,Success,Confirmed within 55 secs,0.00604575922053431 Ether,0.003045 Ether,0.000000145 Ether (145 Gwei),"21,000","21,000 (100%)"
38,0x919dd098d58548a97d0633d2d87f9c69f2915ee69c773e26249c397b54192386,Success,Confirmed within 55 secs,0 Ether ($0.00),0.0170723 Ether,0.000000145 Ether (145 Gwei),"210,556","117,740 (55.92%)"
39,0x96762e3e1f7008592162663d0ac01a11bd08d7e7ea3b7e2c777973e258d48a2f,Success,Confirmed within 1 min:0 secs,0 Ether ($0.00),0.0095265 Ether,0.000000145 Ether (145 Gwei),"97,549","65,700 (67.35%)"
40,0x1531e6247015a32ac73ca539296edf5662ab40bf423611acc50f9b456f3674bc,Success,Confirmed within 1 min:5 secs,0 Ether ($0.00),0.003800305 Ether,0.000000145 Ether (145 Gwei),"60,000","26,209 (43.68%)"
41,0x23610b4b85efe2effd8e826ee1fd7ebf198eff7c7c2648bb2e1c1a14e5d690ca,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 1 min:10 secs,0.15 Ether,0.004182815 Ether,0.000000145 Ether (145 Gwei),"167,054","28,847 (17.27%)"
42,0x142289cf721833dab82600cc90b32ed2629a77c11f14f3f6ef482cd4e9f98ae2,Success,Confirmed within 1 min:15 secs,0 Ether ($0.00),0.00314998 Ether,0.000000145 Ether (145 Gwei),"55,086","21,724 (39.44%)"
43,0xb5db26e97fcc02f89941eb83cec85195448a78968999afabc992bda69a9997ce,Success,Confirmed within 1 min:20 secs,0.001117899243741162 Ether,0.003045 Ether,0.000000145 Ether (145 Gwei),"21,000","21,000 (100%)"
44,0x9b125a74218d9c0252aa927f066a50d1cf674812430d9ac36e2802026711178c,Success,Confirmed within 1 min:25 secs,0 Ether ($0.00),0.00952476 Ether,0.000000145 Ether (145 Gwei),"97,534","65,688 (67.35%)"
45,0x67d2120bf4bc889f85e91b02c18079d1d0d91f547d909c27c92a05d653669447,Success,Confirmed within 1 min:25 secs,0.05 Ether,0.003045 Ether,0.000000145 Ether (145 Gwei),"21,000","21,000 (100%)"
46,0x38b23c2b7f3dbc60c3e41dc9eb168da1a45d1ce53ad0e98002d295bfda741559,Success,Confirmed within 1 min:25 secs,0 Ether ($0.00),0.00952476 Ether,0.000000145 Ether (145 Gwei),"97,534","65,688 (67.35%)"
47,0xdb50a91e496b09060629e1f4c0d40c1cceedeb91664a76104a996bfe9786f24a,Success,Confirmed within 1 min:30 secs,0 Ether ($0.00),0.0095265 Ether,0.000000145 Ether (145 Gwei),"97,549","65,700 (67.35%)"
48,0xa25b69333f2ce68d395f3807c123d13aea092a09c049e394524d0bdb4201729b,Success,Confirmed within 1 min:30 secs,0 Ether ($0.00),0.022932765 Ether,0.000000145 Ether (145 Gwei),"210,571","158,157 (75.11%)"
49,0x4a7043506d7f454b2531c796a12dde173379c9a0981a8e59645635b4c29b30e2,Success,Confirmed within 1 min:30 secs,0.2535338 Ether,0.01867542 Ether,0.000000145 Ether (145 Gwei),"174,435","128,796 (73.84%)"
