,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0xf30d9d33205c152b8c96f32b48309d346a4c4c85036b172cf20817e9ffa30bf4,Success,Confirmed within 30 secs,0.4809479 Ether ($855.75),0.00357 Ether ($6.35),0.00000017 Ether (170 Gwei),"21,000","21,000 (100%)"
1,0x5d63a9195cd86066166720ae4fc3c243915cf76a580c6e3962537a193c18afe6,Success,Confirmed within 30 secs,0.0425 Ether ($75.62),0.00357 Ether ($6.35),0.00000017 Ether (170 Gwei),"21,000","21,000 (100%)"
2,0x62e7df35b16c67f149e522bdf82e53a49db911093813eb2cdebe6a847d2b8e4b,Success,Confirmed within 30 secs,0.085 Ether ($151.24),0.00357 Ether ($6.35),0.00000017 Ether (170 Gwei),"21,000","21,000 (100%)"
3,0x51e34f85ad21dfd09db50ad2c66554f6d567cd63e36029f1a4231c76742b89f1,Success,Confirmed within 30 secs,0.085 Ether ($151.24),0.00357 Ether ($6.35),0.00000017 Ether (170 Gwei),"21,000","21,000 (100%)"
4,0x1ee3b54ff300193532181bc9a0967bfcf02ffa1616a8e5040584769e382049f3,Success,Confirmed within 30 secs,0.0425 Ether ($75.62),0.00357 Ether ($6.35),0.00000017 Ether (170 Gwei),"21,000","21,000 (100%)"
5,0x120575353555e5ce17f9c12c73b103c68177540601bf10578efb1ddb618e24ca,Success,Confirmed within 30 secs,0.05155733 Ether ($91.74),0.00357 Ether ($6.35),0.00000017 Ether (170 Gwei),"21,000","21,000 (100%)"
6,0xaaa82f16dd4d83ccbd5a11515657d4f5f0125c104efd18b19c5b3e1e1524d004,Success,Confirmed within 30 secs,"0.81271673 Ether ($1,446.13)",0.00357 Ether ($6.35),0.00000017 Ether (170 Gwei),"21,000","21,000 (100%)"
7,0x04cef7ff03c3c58b657ad92fc74ee50f84bd5a08e23270e8da8753f95382873d,Success,Confirmed within 30 secs,0.09988746 Ether ($177.74),0.00357 Ether ($6.35),0.00000017 Ether (170 Gwei),"21,000","21,000 (100%)"
8,0x73c608caac643b23c2be3442aa87b30f6cbb13db4babe4f3a4fc06e9e44ac5ab,Success,Confirmed within 30 secs,0.092115 Ether ($163.91),0.03132675 Ether ($55.74),0.00000017 Ether (170 Gwei),"210,000","184,275 (87.75%)"
9,0xc04c2c770efb3b9d2fa9471acabad6aa409e82fa5b913b84e24e390f0a054c66,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0088451 Ether ($15.74),0.00000017 Ether (170 Gwei),"250,000","52,030 (20.81%)"
