,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0x65aca7f4fb532956ada7351e8c6e3020727e57a0b19eea977a48ed20d73cf575,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00634803406014 Ether ($11.41),0.000000154000001459 Ether (154.000001459 Gwei),"60,000","41,221 (68.7%)"
1,0x8bafa743c06f861e4ffdec67de0c1499ba62ba2920fde6b83a5722c6f95d5e68,Success,Confirmed within 30 secs,0.07112429944612794 Ether ($127.82),0.00325201048962 Ether ($5.84),0.000000154857642363 Ether (154.857642363 Gwei),"21,000","21,000 (100%)"
2,0xbcd45c8e03e8a92fa1021d583791bf0f3966802db682f8efd5e29fe62867b5c0,Success,Confirmed within 30 secs,"10 Ether ($17,922.80)",0.032671675 Ether ($58.56),0.000000155 Ether (155 Gwei),"248,891","210,785 (84.69%)"
3,0x01e1e91dacb9b0043a50bbb6553d1f8f35e4256f43d1e25b7efbf1f9cd646dc4,Success,Confirmed within 30 secs,0 Ether ($0.00),0.01712568 Ether ($30.69),0.000000156 Ether (156 Gwei),"165,068","109,780 (66.51%)"
4,0x0d6917bdae8e1c797cf0bc5dd736ac1432c0e4f36ca45bd31aedde9f558fe234,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 30 secs,0 Ether ($0.00),0.007783776 Ether ($13.95),0.000000156 Ether (156 Gwei),"400,000","49,896 (12.47%)"
5,0x8c8d6d999b5d417118011827c9a0a9cbac5cccf5ccf2308e01179922be2047af,Fail with error 'UniswapV2: TRANSFER_FAILED',Confirmed within 30 secs,"23 Ether ($41,222.44) - [CANCELLED]  ",0.013501956 Ether ($24.20),0.000000156 Ether (156 Gwei),"162,148","86,551 (53.38%)"
6,0xa228f85928a079db92f56c41acb552fa461ee8a6a5d056417227471b5332b768,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 30 secs,0.5 Ether ($896.14) - [CANCELLED]  ,0.004501068 Ether ($8.07),0.000000156 Ether (156 Gwei),"233,973","28,853 (12.33%)"
7,0x999829e0e4427b66424489d2261981d74ae926992c4284479cf18fa6bc316c9e,Success,Confirmed within 30 secs,0 Ether ($0.00),0.008140392 Ether ($14.59),0.000000156 Ether (156 Gwei),"60,000","52,182 (86.97%)"
8,0xf68fce392a51d0042eef605e32f00542a9c899ac44bc0142e025f7fb095ad6e7,Success,Confirmed within 30 secs,0.01332 Ether ($23.88),0.003297 Ether ($5.91),0.000000157 Ether (157 Gwei),"21,000","21,000 (100%)"
9,0x4800726898cb6dd41270532e1c6c7fa89cab7257b70c994f0f8aa3a69d9ea4c5,Success,Confirmed within 30 secs,0.01332 Ether ($23.88),0.003297 Ether ($5.91),0.000000157 Ether (157 Gwei),"21,000","21,000 (100%)"
