,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0x1b71b6e8cbeb0ff3d8b451c3a6c06932f1007330f485b33a874fa25e7cb80eed,Success,Remove,0.12420638646708643 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
1,0x1f9a284f5a9b1bccbcfef1f6af0d8879284626d2867aae8d68240e964fa1af5f,Success,Remove,0.100082610398565834 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
2,0x84bcecca3645f4f1a62054f8b9a857bc1890f5d05dec77e2d32dbb61db2cc044,Success,Remove,0.100081877857201304 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
3,0x6ad89a4919736921fcd6574c014b045f62769823a63cc0a02e281b9654af2dae,Success,Remove,0.100077573319171243 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
4,0x83c6d06f79bc14c48d4224b3d9508b3f7b33659d85aaddf653f7a4552f5e47ef,Success,Remove,0.050090333630163442 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
5,0x36bece6a18e9b86b964297fb6033c066d8422c6263100cd48b4a612a2e8f5f49,Success,Remove,0.100011320490009197 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
6,0x6b10aead47bfcfc5095b5d9578c87ee77d3c85ef864ac61b8166feec047313fd,Success,Remove,0.100093596442079489 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
7,0xb7e7008ec855c6a9c218864d31f66fa971fffacf551f0210e072ffe56755deda,Success,Remove,0.120529999386044912 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
8,0x558fcf5153cfed1c7bf0f931ca92472571d1229355c976f8c6dcdbefddb1df8d,Success,Remove,0.137685105736736697 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
9,0x9f049f2490a5d685d2b78d6481d659d33fe47ff204eaefcdfcaf94d316d5720b,Success,Remove,0.10003895491393652 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
10,0x4aa5af3ed25cfa5bc99f8a740837494ebbf43362c8be13d41f81d505067ce406,Success,Remove,0.100169750515990607 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
11,0xd8db870c0b187fa004c74f9ae93b8b5a387d82c5fdfc7d9424c0f597de6642bd,Success,Remove,0.210639645944208234 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
12,0xecaa5438b389b92660b9f14177666672446b41911b563a8e58e9ae9c8fd5e30f,Success,Remove,0.200069263073441573 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
13,0x91d871193153f1a17d9acab69baa56ac1c1efbb974f153bde9954823cb6f72b7,Success,Remove,0.100098197544363627 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
14,0xd6233850ee52774f76515eb9782ca296d56b08c08ed105cd5c4161a2e66a41d0,Success,Remove,0.300099365085678687 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
15,0x15c401697ce70cb5c169004b9f7ac8e992981d8516428b08c9d702f9b7aa99fd,Success,Remove,0.100027459704492227 Ether,0.000021 Ether,0.000000001 Ether (1 Gwei),"50,000","21,000 (42%)"
16,0x381bcca45eda30a0f9461a1f5ca9765b55c34aaa8e81dbf9b03bf5ebd97ba651,Success,Remove,0.119849246346635298 Ether,0.000042512 Ether,0.000000001 Ether (1 Gwei),"50,000","42,512 (85.02%)"
