,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0x54ab5e88f27b37301abf706a22c753a28433ad6e7e1d12c09f29a4604765a41b,Success,Confirmed within 22 secs,0 Ether ($0.00),0.019725759 Ether ($34.96),0.000000141 Ether (141 Gwei),"161,135","139,899 (86.82%)"
1,0xeefbe6b455e56f74ee3871657b9808b760e668a5bf7e4ace1fbc4b9ccc053dd9,Success,Confirmed within 32 secs,"0.68072 Ether ($1,206.43)",0.002961 Ether ($5.25),0.000000141 Ether (141 Gwei),"21,000","21,000 (100%)"
2,0xf59111969f365d82548257cbeeb9ff421dfe3d1743e51243bb5a7ac4329d719b,Success,Confirmed within 32 secs,0 Ether ($0.00),0.006658302 Ether ($11.80),0.000000141 Ether (141 Gwei),"97,222","47,222 (48.57%)"
3,0x1500b5b25fb9979e17466fcea0b7884d3fbccc81b9efdb582a2736ffaaf4d983,Success,Confirmed within 10 secs,0 Ether ($0.00),0.0047977706 Ether ($8.50),0.00000014182 Ether (141.82 Gwei),"65,000","33,830 (52.05%)"
4,0x42962ef185e19e1c7ec0d64b612daffd2f99c96963fb12549f7d84547d8cfb64,Success,Confirmed within 10 secs,0 Ether ($0.00),0.003875606 Ether ($6.87),0.000000142 Ether (142 Gwei),"63,439","27,293 (43.02%)"
5,0x33719d7a765a0b8d5e004fb4de1a5b330be7b2297325800cb154c8ac209f03a2,Success,Confirmed within 3 secs,0.0074878074285 Ether ($13.27),0.0029875545 Ether ($5.29),0.0000001422645 Ether (142.2645 Gwei),"21,500","21,000 (97.67%)"
6,0xcdf010a78087a9f27ce329641eefcf479e4e89e4e3f3bd2115b0770295c9ebf9,Success,Confirmed within 10 secs,0 Ether ($0.00),0.003418615935 Ether ($6.06),0.0000001422645 Ether (142.2645 Gwei),"39,030","24,030 (61.57%)"
7,0x4ba721e38187c2fd705bbfb5cce9bca886979606db390ed8602d0c3e0ab903ca,Success,Confirmed within 30 secs,0.05 Ether ($88.61),0.003003 Ether ($5.32),0.000000143 Ether (143 Gwei),"21,000","21,000 (100%)"
8,0x75609e02f5b925695986c2eac00ad44da7b72480387464e314c764b460a741ca,Success,Confirmed within 30 secs,0.500997 Ether ($887.91),0.003003 Ether ($5.32),0.000000143 Ether (143 Gwei),"21,000","21,000 (100%)"
9,0x9a90301a6af0b7cf2a7e518e46c311b1c4312fc93902810f0b1733e71a3c0ec0,Success,Remove,0.04 Ether ($70.89),0.003003 Ether ($5.32),0.000000143 Ether (143 Gwei),"21,000","21,000 (100%)"
10,0x213ebfffffc2ccc7d9fd9f0e7314e81991489d48b1fbb942880cf47a66f9190b,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 27 secs,0 Ether ($0.00),0.004874012 Ether ($8.64),0.000000143 Ether (143 Gwei),"180,981","34,084 (18.83%)"
11,0x9952ab151ee48a0852498df7a67ce58ea7667ba4d90456c49384e22da7856be9,Success,Confirmed within 32 secs,0.053 Ether ($93.93),0.003003 Ether ($5.32),0.000000143 Ether (143 Gwei),"50,000","21,000 (42%)"
12,0x0808241fd6a9adc6125cf7a58f595682c75f500f6e31f1ab6655692b15ac2f09,Success,Confirmed within 15 secs,0 Ether ($0.00),0.00589288706012 Ether ($10.44),0.000000143000001459 Ether (143.000001459 Gwei),"60,000","41,209 (68.68%)"
13,0x144d2d2e8978c9db6991ca2c38fa59db1fd12f7afbc2c3e4a035478cc0b86acd,Success,Confirmed within 30 secs,0.1 Ether ($177.17),0.0030177 Ether ($5.35),0.0000001437 Ether (143.7 Gwei),"21,000","21,000 (100%)"
14,0xd9015784acd7b2dda2540eb7d9837041125642ec9a3a5d67ea1097141c75ec72,Success,Confirmed within 10 secs,"260.913097499789395996 Ether ($462,246.69)",0.02554848 Ether ($45.26),0.000000144 Ether (144 Gwei),"242,020","177,420 (73.31%)"
15,0xb6305335f3c64745e458f70c28b72a627858956906c998b15e73dba7d28de4d3,Success,Confirmed within 26 secs,"1.462 Ether ($2,590.15)",0.021165264 Ether ($37.50),0.000000144 Ether (144 Gwei),"190,198","146,981 (77.28%)"
16,0x6acff1ce765a3177e6ba456c4b3a4cc0c84f69347845f8ef1a3ea1ac7b793ab5,Success,Confirmed within 27 secs,0 Ether ($0.00),0.00523944 Ether ($9.28),0.000000144 Ether (144 Gwei),"62,049","36,385 (58.64%)"
17,0x870263605a9772d5a11dcfa413965ebc20ae4783ddf3535b79febf644c4afead,Success,Confirmed within 32 secs,0 Ether ($0.00),0.003024 Ether ($5.36),0.000000144 Ether (144 Gwei),"21,000","21,000 (100%)"
