,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0x25e06a934e20643c7f6b7afc2e8b71e2c080258aca2e8a7a93ea6b12276b1e1f,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 5 mins:1 sec,"1 Ether ($1,771.61) - [CANCELLED]  ",0.00386791 Ether ($6.85),0.000000134 Ether (134 Gwei),"167,022","28,865 (17.28%)"
1,0x5beefe2a80953bb6042f38dc9008c9cfd3595eb555afc32a07325713c102b565,Success,Confirmed within 5 mins:1 sec,0 Ether ($0.00),0.022851958 Ether ($40.48),0.000000134 Ether (134 Gwei),"215,532","170,537 (79.12%)"
2,0xacf7e1a2688fd7a4b238bfdee2a0a22b7c7900130ff9915130bb7daeb6347e55,Success,Confirmed within 5 mins:1 sec,0 Ether ($0.00),0.002842944 Ether ($5.04),0.000000134 Ether (134 Gwei),"250,000","21,216 (8.49%)"
3,0xfea9000b6ad0f6c56a3405ff7d81098bbe11b671bc202480a21113f3e643557e,Success,Confirmed within 5 mins:1 sec,0.11778286602430557 Ether ($208.57),0.015081298 Ether ($26.71),0.000000134 Ether (134 Gwei),"151,719","112,547 (74.18%)"
4,0xf26a3bcb268d5a4d59e1d55bb042a818f5c7ca252260b22023aa162ed6498146,Success,Confirmed within 5 mins:1 sec,0.037186 Ether ($65.85),0.002814 Ether ($4.98),0.000000134 Ether (134 Gwei),"21,000","21,000 (100%)"
5,0xe84e19b5622f400658e3bf3ec5624abe0904b94abe21d42aa8a2fdcee409b817,Success,Confirmed within 5 mins:1 sec,0 Ether ($0.00),0.006331232 Ether ($11.21),0.000000134 Ether (134 Gwei),"51,972","47,248 (90.91%)"
6,0x5f2baf0e7b77930e34d4e4abbd489dec90f89942e6923a93e6f2cc3344f702ed,Success,Confirmed within 5 mins:1 sec,"1 Ether ($1,770.79)",0.023935348 Ether ($42.38),0.000000134 Ether (134 Gwei),"215,717","178,622 (82.8%)"
7,0xa6b329a0e0182adb644a3c59dc10e351c971102e36d825819ac07c8556f290c8,Success,Confirmed within 5 mins:1 sec,0.5 Ether ($885.40),0.016663704 Ether ($29.51),0.000000134 Ether (134 Gwei),"151,488","124,356 (82.09%)"
8,0x4ac83dd1270713d5275eca82f7aa9e1e80d35953fc3c2b8c5cf04362c359325a,Success,Confirmed within 5 mins:6 secs,0 Ether ($0.00),0.007532006 Ether ($13.34),0.000000134 Ether (134 Gwei),"80,000","56,209 (70.26%)"
9,0xe14b821e5d1579303cab8689f19a71703f752d436f8792c009622a58ba77e1ba,Fail with error 'Dai/insufficient-balance',Confirmed within 5 mins:6 secs,0 Ether ($0.00),0.00308133 Ether ($5.46),0.000000134 Ether (134 Gwei),"74,060","22,995 (31.05%)"
10,0x8c26f452c97f51cb6343e7a09ec495c360e4fed21e6bbb3af43fc2ba68d810de,Success,Confirmed within 5 mins:12 secs,"2.75 Ether ($4,869.67)",0.002814 Ether ($4.98),0.000000134 Ether (134 Gwei),"21,000","21,000 (100%)"
11,0x87fe112a91d24d0ff1ca8296f1947aac7fb14c51f993580fe492fb6837f603a7,Success,Confirmed within 5 mins:23 secs,0.25 Ether ($442.70),0.002814 Ether ($4.98),0.000000134 Ether (134 Gwei),"21,000","21,000 (100%)"
12,0x69caebe261b46fd35f3db44b49643110e254511b9dd83f2086242086d221ea97,Success,Confirmed within 3 mins:3 secs,0 Ether ($0.00),0.007628949 Ether ($13.51),0.000000149 Ether (149 Gwei),"300,000","51,201 (17.07%)"
13,0xc0b4d00e2b0eceeede13582863e7660f0a5d55692a171e5d26065583d0659d7d,Success,Confirmed within 5 mins:52 secs,0 Ether ($0.00),0.005150022 Ether ($9.12),0.000000134 Ether (134 Gwei),"300,000","38,433 (12.81%)"
14,0xeff99d2d2589eb924f23dd6f86bda0916b65e9f9a9e84c6ab75a9632ee303b0a,Success,Confirmed within 6 mins:2 secs,"2.6 Ether ($4,604.05)",0.002814 Ether ($4.98),0.000000134 Ether (134 Gwei),"21,000","21,000 (100%)"
15,0x950a1bdbe2b62743e1047c1e098b573d87c16b5d83e3d1bdd31daa7534c90d80,Success,Confirmed within 6 mins:6 secs,0 Ether ($0.00),0.007069036 Ether ($12.52),0.000000134 Ether (134 Gwei),"150,000","52,754 (35.17%)"
16,0xb94041f9c1eae0f6d6e1c2f8ba708fabacc0b7293746fc14de6c875fef139791,Success,Confirmed within 6 mins:6 secs,"0.988198 Ether ($1,749.89)",0.002814 Ether ($4.98),0.000000134 Ether (134 Gwei),"21,000","21,000 (100%)"
17,0x1e89a5e2e1ab4d8d80fd9d46efd464ab12a44d9f59b116489479d15b613eec0e,Success,Confirmed within 6 mins:16 secs,0 Ether ($0.00),0.007241762 Ether ($12.82),0.000000134 Ether (134 Gwei),"81,100","54,043 (66.64%)"
18,0xc1ec383d0130386b53ccab698b9b22aeb9efbcc2ffe767e4cb7747dccd555443,Success,Confirmed within 6 mins:16 secs,0 Ether ($0.00),0.017728468 Ether ($31.40),0.000000134 Ether (134 Gwei),"173,342","132,302 (76.32%)"
