,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0x3b5bc0076f171ac1fcead2a6df88ec54a215107ebfde15c8e6b1e4926efa73fa,Success,Confirmed within 30 secs,0.1784 Ether ($317.16),0.004095 Ether ($7.28),0.000000195 Ether (195 Gwei),"21,000","21,000 (100%)"
1,0xa5ff74c1e42ab82f573fa396ce15f66636aac901a36204839b3caa85f975ecfd,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0339364 Ether ($60.33),0.0000002 Ether (200 Gwei),"231,050","169,682 (73.44%)"
2,0x66ce29707a77b5cfe8f7a9cafc613b890310d2d8d90dc613dce6b2fbfd6f2f4f,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00830373 Ether ($14.76),0.000000205 Ether (205 Gwei),"80,000","40,506 (50.63%)"
3,0x808cccb3c0d1e546163cb87a3e3149ef1add2794c3135acfb7b844ec93aa9719,Success,Confirmed within 30 secs,0 Ether ($0.00),0.011760645 Ether ($20.91),0.000000205 Ether (205 Gwei),"80,000","57,369 (71.71%)"
4,0x9dd322506f62079fa6851e607bf88863deb349db95c246e764116caaacc0bc2f,Success,Confirmed within 30 secs,0 Ether ($0.00),0.01073169292666 Ether ($19.08),0.000000207692766284 Ether (207.692766284 Gwei),"368,843","51,671 (14.01%)"
5,0xd88f00fa256e82cdea5a0952cf048f6e99e7eb686e41a04cef40bcfe9f7cd72d,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00839431853506 Ether ($14.92),0.000000207692766288 Ether (207.692766288 Gwei),"368,742","40,417 (10.96%)"
6,0xb2187a97cbc6dc9c525887b22e4ee01da1f7fb03c05648e3d5f7665590f96069,Success,Confirmed within 30 secs,0 Ether ($0.00),0.05502601802625 Ether ($97.82),0.000000207792766288 Ether (207.792766288 Gwei),"499,560","264,812 (53.01%)"
7,0xddfc913ea74a1efb91c2f1b270dbbae6b07a6c29c2f36527882b18b978737e8f,Success,Confirmed within 30 secs,0.02226 Ether ($39.57),0.004452 Ether ($7.91),0.000000212 Ether (212 Gwei),"420,000","21,000 (5%)"
8,0x4986bbaad33fb74919c9a2dfeb8d67bff6992267a97cf7ba2e5fa653198bbf7d,Success,Confirmed within 30 secs,0 Ether ($0.00),0.042243728 Ether ($75.10),0.000000239 Ether (239 Gwei),"800,000","176,752 (22.09%)"
9,0x98b75727d7689e09983ee047963dd2ddbdab9885dc66812394e6c9bddf3c3b16,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0305207721 Ether ($54.26),0.0000002681 Ether (268.1 Gwei),"171,948","113,841 (66.21%)"
10,0xdccf0f79f28ddc161ce303be7d47680adf3b656d43a1e8d0d0b9d31e4c606d19,Success,Confirmed within 30 secs,"0.642469 Ether ($1,142.14)",0.00569058 Ether ($10.12),0.00000027098 Ether (270.98 Gwei),"21,000","21,000 (100%)"
11,0xda9af492feb13b82b28723d44fd1db5cf300ed1f9a67d21046108a7523d33fd6,Success,Confirmed within 30 secs,0 Ether ($0.00),0.01629713 Ether ($28.97),0.00000029 Ether (290 Gwei),"150,000","56,197 (37.46%)"
12,0x13ec1cee943590c9a69547f3218cbd3fac2e433ed7ade37f12275f6d40db80f9,Success,Remove,"1.678 Ether ($2,983.03)",0.00302400002593 Ether ($5.38),0.000000144000001235 Ether (144.000001235 Gwei),"21,000","21,000 (100%)"
13,0x9687c3e50b028fb6cbfb72ca9d2bf08cfd93dbf2bf90f61a02a631ab9503be29,Success,Confirmed within 30 secs,0.152031824 Ether ($270.27),0.0063245148 Ether ($11.24),0.0000001446 Ether (144.6 Gwei),"43,738","43,738 (100%)"
14,0x29d29740cc4f3484edd5e47d2f8209c040d1adfdefa7e2be57159bd702477d57,Success,Confirmed within 30 secs,0 Ether ($0.00),0.003206965 Ether ($5.70),0.000000145 Ether (145 Gwei),"57,329","22,117 (38.58%)"
15,0x63c0b132e41ea525c71b4ac1fa05cfef196c277f1ce270776694488f29556dc6,Success,Confirmed within 30 secs,0.04588 Ether ($81.56),0.003045 Ether ($5.41),0.000000145 Ether (145 Gwei),"21,000","21,000 (100%)"
16,0xa4103e46a90dc374e0a5f66eef1ffa576c400eb3b7fa762d42060b20de2006c2,Success,Confirmed within 30 secs,"1 Ether ($1,777.73)",0.00634201 Ether ($11.27),0.000000145 Ether (145 Gwei),"43,738","43,738 (100%)"
17,0xa40176ec50d5e3a6f320a6eb084736f17c1cfdb247ea1c0e162042fd82f46114,Success,Confirmed within 30 secs,0 Ether ($0.00),0.02945385 Ether ($52.36),0.000000145 Ether (145 Gwei),"267,255","203,130 (76.01%)"
18,0x8db7918566a88e965f39ef7c9cc7d2983d04c5c9692b660e73f0a31e0ff2bfa6,Success,Confirmed within 30 secs,0.22 Ether ($391.10),0.01823549 Ether ($32.42),0.000000145 Ether (145 Gwei),"166,487","125,762 (75.54%)"
19,0xbcd207103bc5091aadbfad9a3fcc4e1f5cd4bb9ee846e7a067c7263956785633,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00751013 Ether ($13.35),0.000000145 Ether (145 Gwei),"77,691","51,794 (66.67%)"
20,0x4a3f5e7ec6dc99c235bf2b8704e31e3bf3f2a4594c9d13f3d8044b356f946cf6,Success,Remove,0 Ether ($0.00),0.003800305 Ether ($6.76),0.000000145 Ether (145 Gwei),"100,000","26,209 (26.21%)"
21,0x8ab81fe56b0cab731230bad00fbcfb7541bb407117619e2d0bc8f28137e0d139,Success,Confirmed within 30 secs,0 Ether ($0.00),0.033887805 Ether ($60.27),0.000000145 Ether (145 Gwei),"286,179","233,709 (81.67%)"
22,0xb35ea94bd999aab658e19a3654e19524225cc73be9d0674bf3f0ee8855624086,Success,Confirmed within 30 secs,0 Ether ($0.00),0.013224725 Ether ($23.52),0.000000145 Ether (145 Gwei),"137,051","91,205 (66.55%)"
23,0x7d2405fd6978452674fb1825b657f0b0244af5a50b728dc1a487c6ce9ce915b0,Success,Confirmed within 8 secs,0 Ether ($0.00),0.00306878 Ether ($5.46),0.000000145 Ether (145 Gwei),"54,246","21,164 (39.01%)"
24,0xaadeb55fbc77952dd9ded6b7690b3c9421ef97f2109f47503b698a2f315ebbec,Success,Remove,0 Ether ($0.00),0.006674785 Ether ($11.87),0.000000145 Ether (145 Gwei),"69,049","46,033 (66.67%)"
25,0xf311bba76b44817a2a6c7aad8be0d561f05a5762b8040120b16289dc05c765cc,Success,Confirmed within 8 secs,0 Ether ($0.00),0.006146985 Ether ($10.93),0.000000145 Ether (145 Gwei),"63,951","42,393 (66.29%)"
26,0xffa28e227f2689890eaca16ba662bd2519f7194b1e281ea9e4cfed7d7ffc5d9e,Success,Confirmed within 8 secs,0 Ether ($0.00),0.0052461 Ether ($9.33),0.000000145 Ether (145 Gwei),"76,770","36,180 (47.13%)"
27,0x94ba03b0f66d052ed09fac620b8ecb47e290431f9f18bfcd18fca5ca2ea3ebf7,Success,Confirmed within 13 secs,0 Ether ($0.00),0.0185107 Ether ($32.92),0.000000145 Ether (145 Gwei),"168,236","127,660 (75.88%)"
28,0xf445949a3b2f8c7a82156800228e124d80d1cd8dcc2181bca25d3fd1e561378f,Success,Confirmed within 13 secs,0 Ether ($0.00),0.005975305 Ether ($10.63),0.000000145 Ether (145 Gwei),"84,313","41,209 (48.88%)"
29,0xdc0561e1c0f7f662205efd4e21acbdd4d3ba79a49ce5aacb69eccec2a72441dd,Success,Confirmed within 13 secs,0 Ether ($0.00),0.00359107 Ether ($6.39),0.000000145 Ether (145 Gwei),"59,952","24,766 (41.31%)"
30,0x729608b9b42f97affec19fbf18be509cd3d30d4a937335136030b25290de428c,Success,Confirmed within 18 secs,0 Ether ($0.00),0.007222595 Ether ($12.84),0.000000145 Ether (145 Gwei),"50,165","49,811 (99.29%)"
31,0xe4d7c78c24440235f687bdc5a259b5586461095017a7e4d43056e97598b8f066,Success,Confirmed within 28 secs,0 Ether ($0.00),0.005417345 Ether ($9.63),0.000000145 Ether (145 Gwei),"78,541","37,361 (47.57%)"
32,0x3d1e6bf14bef72fb6e566f81899f2ce00db0858782c51c8fd829435eff9f136c,Success,Confirmed within 33 secs,0 Ether ($0.00),0.003800305 Ether ($6.76),0.000000145 Ether (145 Gwei),"61,813","26,209 (42.4%)"
