,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0x7ad91e8564efa365f2822a1c7b7f129c40c8e4e3a0477aea011d46a7f37e0935,Success,Confirmed within 1 min:7 secs,0 Ether ($0.00),0.006840694 Ether ($11.75),0.000000166 Ether (166 Gwei),"80,000","41,209 (51.51%)"
1,0xd82afb47794f736f6e9381f99ac89e7d92d4fca1fe7f70370c73eecf7ae7bb62,Success,Remove,0.016945320402213363 Ether ($29.12),0.003486 Ether ($5.99),0.000000166 Ether (166 Gwei),"21,000","21,000 (100%)"
2,0x52dd3632b2cc69181214c93c5bc6b0b9615576ff18609e3a4626e9c5c0047861,Success,Confirmed within 1 min:7 secs,0.06329578 Ether ($108.75),0.003486 Ether ($5.99),0.000000166 Ether (166 Gwei),"90,000","21,000 (23.33%)"
3,0xaf3019e54065ec112fe40fe44d1f87ded015e4e8a74ca36fa49adcb67af15a51,Success,Confirmed within 1 min:15 secs,0.19 Ether ($326.45),0.019653072 Ether ($33.77),0.000000166 Ether (166 Gwei),"158,251","118,392 (74.81%)"
4,0x46b16c755955c6cf6f6972a3ed9400ff4827e75530726840c6a875c9e034b564,Success,Confirmed within 1 min:15 secs,0 Ether ($0.00),0.018730942 Ether ($32.18),0.000000166 Ether (166 Gwei),"155,213","112,837 (72.7%)"
5,0x100a3f7b7f444d1af9e612b46ee10675401aac857fb31aa00eb5fda83b393ea0,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 1 min:15 secs,0 Ether ($0.00),0.004839896 Ether ($8.32),0.000000166 Ether (166 Gwei),"155,115","29,156 (18.8%)"
6,0xf76131952539a6f6d191af5699ccfbc92535b38ec25cfe35e07a9cc62c7eb65b,Success,Confirmed within 1 min:15 secs,0 Ether ($0.00),0.007367578 Ether ($12.66),0.000000166 Ether (166 Gwei),"48,821","44,383 (90.91%)"
7,0x101154033e485b835e6003fa434ce9f3163166742a464e17b3ca033946ff80c5,Success,Confirmed within 1 min:15 secs,0 Ether ($0.00),0.007495398 Ether ($12.88),0.000000166 Ether (166 Gwei),"45,153","45,153 (100%)"
8,0x4040a926f86c9cd02503004d7a58adbb888759d95010cb81a53b68202dbdfcd7,Success,Confirmed within 1 min:21 secs,0 Ether ($0.00),0.029445412 Ether ($50.59),0.000000166 Ether (166 Gwei),"209,849","177,382 (84.53%)"
9,0x07e778b7e06e733804811d64b73c17004fee664b9e9757e5dfe41d56826fea21,Success,Confirmed within 51 secs,"1 Ether ($1,718.20)",0.018644715 Ether ($32.04),0.000000167 Ether (167 Gwei),"150,712","111,645 (74.08%)"
10,0xc1829dad952f428158a3ffd1c8300540d28876d1720d279845e5f8664354c802,Success,Confirmed within 1 min:21 secs,"1 Ether ($1,718.20)",0.018292868 Ether ($31.43),0.000000166 Ether (166 Gwei),"149,095","110,198 (73.91%)"
11,0xc7117c14e31092620864b44ace2a60e9d8c1253c8e77a9a07b5ef2c05ea888eb,Success,Confirmed within 1 min:21 secs,0.12748093 Ether ($219.04),0.003486 Ether ($5.99),0.000000166 Ether (166 Gwei),"21,000","21,000 (100%)"
12,0x421b0ef9e666f46cdbd0d0dd5937d1c2ebaf5ea542c3f37994f0c73c33cd6b08,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 1 min:21 secs,"25 Ether ($42,955.00) - [CANCELLED]  ",0.004789598 Ether ($8.23),0.000000166 Ether (166 Gwei),"165,247","28,853 (17.46%)"
13,0x0726882a85df899c47de1b702204953e482a1983f48710848b029b9404f2e12a,Success,Confirmed within 1 min:26 secs,0.22595486595621028 Ether ($388.24),0.025955926 Ether ($44.60),0.000000166 Ether (166 Gwei),"199,809","156,361 (78.26%)"
14,0x2e4668284d22aa81b04f30b56af97eec2d4bab9ccee47d14840b8c11540e3b36,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 1 min:21 secs,0 Ether ($0.00),0.004841888 Ether ($8.32),0.000000166 Ether (166 Gwei),"169,450","29,168 (17.21%)"
15,0x1e28ba7f3e3833270f000593fd58e38a40818a76f36e453f089c8a6918772c29,Success,Remove,0 Ether ($0.00),0.019004664 Ether ($32.65),0.000000168 Ether (168 Gwei),"165,463","113,123 (68.37%)"
16,0x7751248d07d4be998b87d1691561fb6c8a69094ed913309b2f0e5085d36c4d4e,Success,Remove,0 Ether ($0.00),0.039791196 Ether ($68.37),0.000000166 Ether (166 Gwei),"309,324","239,706 (77.49%)"
17,0xa8a5101267f4dc14499309eddaecb1abb67c308bd6209cf8f28a5b11c9293c05,Success,Remove,"1 Ether ($1,718.20)",0.018920846 Ether ($32.51),0.000000166 Ether (166 Gwei),"153,322","113,981 (74.34%)"
18,0xe381610f65eb4b227330d8eaeb19be88c58a950bb31e330df2ddc16a3fd6a89b,Success,Confirmed within 1 min:21 secs,"1.6 Ether ($2,749.12)",0.018480946 Ether ($31.75),0.000000166 Ether (166 Gwei),"150,361","111,331 (74.04%)"
19,0x1160ff4a13a35e1fdfb60ad71c202c7fbe614f44554a2e8920821244e8711f66,Success,Confirmed within 31 secs,0 Ether ($0.00),0.007415969 Ether ($12.74),0.000000167 Ether (167 Gwei),"48,847","44,407 (90.91%)"
20,0xf090e2f3ee541a508399a1705579b99b3f107118e09fddc6d037a653229d3a93,Success,Confirmed within 1 min:21 secs,0 Ether ($0.00),0.026279294 Ether ($45.15),0.000000166 Ether (166 Gwei),"215,409","158,309 (73.49%)"
21,0xb985876b77048718daf45adab62577ada4b43bf73d817ad0fd983eb543a72c4b,Success,Confirmed within 1 min:27 secs,0.164696455050241595 Ether ($282.98),0.028409572 Ether ($48.81),0.000000166 Ether (166 Gwei),"230,624","171,142 (74.21%)"
