,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0x70614e7540256a59fd4c5b3cdeffe5cc5e1cf858399403da9e1080ba9c9e3e0c,Success,Confirmed within 1 min,0 Ether ($0.00),0.016960521 Ether ($30.21),0.000000149 Ether (149 Gwei),"156,304","113,829 (72.83%)"
1,0x4cac9d529c8dd8969fd499031e7c9b36ee9af6f762d535e1fc758a4cf8bd919f,Success,Confirmed within 1 min,"25.518219602441797404 Ether ($45,452.80)",0.003129 Ether ($5.57),0.000000149 Ether (149 Gwei),"21,000","21,000 (100%)"
2,0xeee9d129d75f5bae64f56f5712cd32faa1d34a18829de3b415cf2b98f595d803,Success,Confirmed within 1 min,0.105359665897145047 Ether ($187.67),0.003129 Ether ($5.57),0.000000149 Ether (149 Gwei),"21,000","21,000 (100%)"
3,0xe4c3738b00bf077af63b64761f8d05517bb94b3f1961a26f606b974ad35f4363,Success,Confirmed within 1 min,0.00596 Ether ($10.62),0.003129 Ether ($5.57),0.000000149 Ether (149 Gwei),"21,000","21,000 (100%)"
4,0x3b2767323a4b1f873c72124bba31612ced9e0476149fda1a7f79b5e5eb857258,Success,Confirmed within 1 min,0 Ether ($0.00),0.006631841 Ether ($11.81),0.000000149 Ether (149 Gwei),"48,959","44,509 (90.91%)"
5,0xe1bbd1777f90e6c254647786ef1bb8a3cbef7851f2736be3831ab5c91497905f,Success,Confirmed within 30 secs,0.09859159 Ether ($175.61),0.003129 Ether ($5.57),0.000000149 Ether (149 Gwei),"21,000","21,000 (100%)"
6,0x0dc8ed2937d67bd95d39d3300c5d0b882bcdaecae4b2e24ea8cfddac42373719,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 30 secs,0 Ether ($0.00),0.004326364 Ether ($7.71),0.000000149 Ether (149 Gwei),"125,392","29,036 (23.16%)"
7,0xe5e0209ca85b920792461179bac3524ed5fdaf18d077b50e08bd3b5d93197740,Success,Confirmed within 30 secs,0 Ether ($0.00),0.025328957 Ether ($45.11),0.000000149 Ether (149 Gwei),"201,829","169,993 (84.23%)"
8,0x7264773fc891af062f81c4b2fc278203e8ed8a569de2618d7457c7af12723c6c,Success,Confirmed within 30 secs,0 Ether ($0.00),0.017259862 Ether ($30.74),0.000000149 Ether (149 Gwei),"155,232","115,838 (74.62%)"
9,0x0c56489f90e4550d774873ebef0481842afe124ed27a5b143ba3ae421219cc56,Success,Confirmed within 30 secs,0 Ether ($0.00),0.034528217 Ether ($61.49),0.000000149 Ether (149 Gwei),"396,310","231,733 (58.47%)"
10,0x6a803b5ef8bc67ab3853ce77237fad50c7ab5b2171730b03cf086dfcb9945cdc,Success,Confirmed within 30 secs,0 Ether ($0.00),0.006631841 Ether ($11.81),0.000000149 Ether (149 Gwei),"48,959","44,509 (90.91%)"
11,0xd78310d19da2890c3a74e3ae24f4222a1da1c653683b036eb2034a79b6920fda,Success,Confirmed within 30 secs,"6.6386698575 Ether ($11,823.47)",0.005111445 Ether ($9.10),0.000000149 Ether (149 Gwei),"51,457","34,305 (66.67%)"
12,0x676a67688d18c0ad53c039fbaafb4cc0d6f75437c5b5d0f1e12e25aa76b1d2b5,Success,Confirmed within 30 secs,0 Ether ($0.00),0.005382923 Ether ($9.59),0.000000149 Ether (149 Gwei),"76,690","36,127 (47.11%)"
13,0x23eb453f59fef67713a48a0a269b514eb8f74c9e367f72a972f3b4ce63cd343a,Success,Confirmed within 1 min,0 Ether ($0.00),0.026977996507 Ether ($48.05),0.000000149039 Ether (149.039 Gwei),"210,452","181,013 (86.01%)"
14,0x553e10e0d8f44f36ee5d5e08d5e7866a66b65feb4c62deb9d013aad40b6037bf,Success,Confirmed within 1 min,"1.41219296 Ether ($2,515.12)",0.003129819 Ether ($5.57),0.000000149039 Ether (149.039 Gwei),"21,000","21,000 (100%)"
15,0x887972428dfe6e30589553a5b6724e1f198b8397d22236f5836de1d004ea6096,Success,Confirmed within 30 secs,0 Ether ($0.00),0.003904374683 Ether ($6.95),0.000000149039 Ether (149.039 Gwei),"41,197","26,197 (63.59%)"
16,0x930eb8cb38d9fc569e138d520562407b62291cc163af90e0e310a6a9741a448a,Success,Confirmed within 30 secs,0 Ether ($0.00),0.003904374683 Ether ($6.95),0.000000149039 Ether (149.039 Gwei),"41,197","26,197 (63.59%)"
17,0xdea549733ed060bc8bb6e3518573b53a62d33bc415efcd3153a5595e19b67f05,Success,Confirmed within 30 secs,0 Ether ($0.00),0.003904374683 Ether ($6.95),0.000000149039 Ether (149.039 Gwei),"41,197","26,197 (63.59%)"
18,0x02dd3cc2b2dffe7935425fa215d9deec9e33fb9e518e3a5af48460bf18661c32,Success,Confirmed within 30 secs,0 Ether ($0.00),0.003906163151 Ether ($6.95),0.000000149039 Ether (149.039 Gwei),"41,209","26,209 (63.6%)"
19,0xa9602a66e78904c691a5a5a67c423b2f572f2c524fabffe3815b2df9c4bd0da8,Success,Confirmed within 30 secs,0 Ether ($0.00),0.003904374683 Ether ($6.95),0.000000149039 Ether (149.039 Gwei),"41,197","26,197 (63.59%)"
20,0x5b70060bff5d1b9dc6c7d7dc43ca3adc6919b9b347d90989396009e8ad83edd4,Success,Confirmed within 30 secs,0 Ether ($0.00),0.006754000363 Ether ($12.02),0.000000149039 Ether (149.039 Gwei),"49,848","45,317 (90.91%)"
21,0xd7a8162f7ff5319a41eade72242a3688c2aa47b1a8058f4971f888c5ac455829,Success,Confirmed within 30 secs,0 Ether ($0.00),0.003129819 Ether ($5.57),0.000000149039 Ether (149.039 Gwei),"21,000","21,000 (100%)"
22,0xd52b611fa24e0aa9e0b19ddc4491d8ada811df6d4561d250ed689a3499053e37,Success,Confirmed within 30 secs,0 Ether ($0.00),0.006630148954 Ether ($11.80),0.000000149039 Ether (149.039 Gwei),"48,934","44,486 (90.91%)"
23,0x67b42cf6f0ac560ebb03ba15133d8ebd3aa70b0f344f2ae9c1d70f0dcdc2336e,Success,Confirmed within 1 min,0 Ether ($0.00),0.00559061855 Ether ($9.95),0.00000014935 Ether (149.35 Gwei),"78,649","37,433 (47.6%)"
24,0xd7827227574dd134c2e24d0cb330c2913c6078ea0964efde4067070c316fcbcc,Success,Confirmed within 1 min,0 Ether ($0.00),0.0058198888 Ether ($10.36),0.0000001496 Ether (149.6 Gwei),"81,517","38,903 (47.72%)"
25,0x689657af1cdb1c6919c864491e6a65214cc445561d1a8f2ae052f242435eb4de,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00616307126607 Ether ($10.97),0.000000149600001604 Ether (149.600001604 Gwei),"84,295","41,197 (48.87%)"
26,0x762849d3559f773c9c3d96c1c73b11ce2b260a0bdaf9928ac1e96309df1aa8e3,Success,Confirmed within 30 secs,0 Ether ($0.00),0.01786463379154 Ether ($31.81),0.000000149600001604 Ether (149.600001604 Gwei),"176,004","119,416 (67.85%)"
27,0x5b1a5db9d689cd5bb873eba6a13614b56b3ba647cdae3e2b7c42f7e4fe6151fd,Success,Confirmed within 30 secs,0.027958088024792336 Ether ($49.78),0.00314160003368 Ether ($5.59),0.000000149600001604 Ether (149.600001604 Gwei),"21,000","21,000 (100%)"
28,0xbfe3501e4f30b5b8c1e73057a347f9bcf003c007317c3940403c15bbc67812eb,Success,Confirmed within 1 min,0.38474078 Ether ($685.00),0.007257 Ether ($12.92),0.00000015 Ether (150 Gwei),"48,380","48,380 (100%)"
29,0x601af006b7c2a941b874a33fbd2f6e57437af63b933a376dbbf8aa7bdec23b25,Success,Confirmed within 1 min,0 Ether ($0.00),0.01917555 Ether ($34.14),0.00000015 Ether (150 Gwei),"170,000","127,837 (75.2%)"
30,0xa6d832755ac90bd59ec42bc5c781d5f6a30de61da47bf2006c091abdff619b2d,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00618315 Ether ($11.00),0.00000015 Ether (150 Gwei),"90,000","41,221 (45.8%)"
31,0x2c46515c901730cb38b85d3ec4f2a66356bac24594b5b02b81c4387a27ca9b48,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0412344 Ether ($73.38),0.00000015 Ether (150 Gwei),"500,000","274,896 (54.98%)"
32,0xb6a4d74a4b9fd38e80a132f3b02c428ba1de2ea0b3383fc45e0da3d42fc056ec,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00860715 Ether ($15.32),0.00000015 Ether (150 Gwei),"84,000","57,381 (68.31%)"
33,0x7180f7b93ed8f00b1d6b9ec85caff222177e6ccbae8a25d840046019827efcf4,Success,Confirmed within 30 secs,0.2298 Ether ($408.95),0.00315 Ether ($5.61),0.00000015 Ether (150 Gwei),"21,000","21,000 (100%)"
34,0xc542e3f08da24781632ceb123d7cb9963e4a6d149b37345fc13b75b3c0c203be,Success,Confirmed within 1 min,0 Ether ($0.00),0.00618135006432 Ether ($11.00),0.000000150000001561 Ether (150.000001561 Gwei),"60,000","41,209 (68.68%)"
