,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0xb3d4cf08ed686e86a87d3c973a02b68979a2b5f72761aeb32e188b898ea15826,Success,Remove,0.3175 Ether ($527.79),0.020258952 Ether ($33.68),0.000000161 Ether (161 Gwei),"166,565","125,832 (75.55%)"
1,0xe07ae28702691bf8a49a516c9b32b4c2bf4651bb91b67f75cb9a0f1541652e16,Success,Confirmed within 34 secs,"2 Ether ($3,324.68)",0.020247682 Ether ($33.66),0.000000161 Ether (161 Gwei),"166,487","125,762 (75.54%)"
2,0x3965b10774cefa5c9488d88c3c7e6b501a79ce549fb37a399816bc74624a9f19,Success,Confirmed within 41 secs,0 Ether ($0.00),0.004219649 Ether ($7.01),0.000000161 Ether (161 Gwei),"100,000","26,209 (26.21%)"
3,0xc2479a3b1d66aa0f0b69693421c93f63b39040242379058293ab2ce0d4c51cff,Success,Confirmed within 46 secs,0 Ether ($0.00),0.006636581 Ether ($11.03),0.000000161 Ether (161 Gwei),"60,000","41,221 (68.7%)"
4,0x96e066137da7a98f2697c3c2c923fc9f8a04d82eb42d1075f49be246b1c17002,Success,Confirmed within 46 secs,0 Ether ($0.00),0.006634649 Ether ($11.03),0.000000161 Ether (161 Gwei),"60,000","41,209 (68.68%)"
5,0xf61c32430a83e5c1b481807d8dc45be51642ac8f04a08be23006ad5f05998355,Success,Confirmed within 46 secs,0 Ether ($0.00),0.006634649 Ether ($11.03),0.000000161 Ether (161 Gwei),"60,000","41,209 (68.68%)"
6,0x915ffb39145b3c09d40c07b43e52e41f3c70015e244cb1b5b33e54d619725b5d,Success,Confirmed within 54 secs,0.006221558922557831 Ether ($10.34),0.003381 Ether ($5.62),0.000000161 Ether (161 Gwei),"21,000","21,000 (100%)"
7,0xa6cf4c59c32882a46277847fc043e52d833d912b5f55d32d6bef4410faa713ef,Success,Confirmed within 59 secs,0 Ether ($0.00),0.004217717 Ether ($7.01),0.000000161 Ether (161 Gwei),"100,000","26,197 (26.2%)"
8,0x2e0b8d4fc51d0a37f0d45d945d04112ca94421789ec98d2ed0067fc6d92d3f7f,Success,Confirmed within 59 secs,0 Ether ($0.00),0.004221581 Ether ($7.02),0.000000161 Ether (161 Gwei),"100,000","26,221 (26.22%)"
9,0x373701f0c757e5e27f32cbbfae476ae87807bc475f2967a14f82d129933d42c9,Success,Confirmed within 1 min:27 secs,0.1026500295470503 Ether ($170.66),0.003381 Ether ($5.62),0.000000161 Ether (161 Gwei),"21,000","21,000 (100%)"
10,0xebf1e0e9a4ed4495e05a57ff09a7a4e0277499c599d735bd1cda775444e85d55,Success,Confirmed within 2 mins:27 secs,0 Ether ($0.00),0.020602204 Ether ($34.25),0.000000161 Ether (161 Gwei),"147,937","127,964 (86.5%)"
11,0xfe106ad510ed177b2eae0959d3bf2622a9586749d28fa61aa3d4f07d687bff8a,Success,Confirmed within 3 mins:5 secs,"5.636 Ether ($9,370.19)",0.003381 Ether ($5.62),0.000000161 Ether (161 Gwei),"21,000","21,000 (100%)"
12,0x564e14997eff341ee2e23ee2825fc659f27b61ae4d8f938112427ee09a9663d4,Success,Confirmed within 3 mins:11 secs,"0.996619 Ether ($1,657.95)",0.003381 Ether ($5.62),0.000000161 Ether (161 Gwei),"21,000","21,000 (100%)"
13,0x942e71340bf1a87dd8773675a9a179f32aea692847dad464e0f415488822f96d,Success,Confirmed within 3 mins:47 secs,0 Ether ($0.00),0.006634649 Ether ($11.04),0.000000161 Ether (161 Gwei),"60,000","41,209 (68.68%)"
14,0xb266de2d62023b4e19a25182e6ae312bab110a67f35a9f03a87e60c0ea1f6af5,Success,Confirmed within 3 mins:47 secs,0.005957 Ether ($9.91),0.003381 Ether ($5.62),0.000000161 Ether (161 Gwei),"21,000","21,000 (100%)"
15,0x6005a6d7fd212fd8ec4532d2545cc82c75c256febff377abcff9f6facd89345b,Success,Confirmed within 3 mins:47 secs,0.005957 Ether ($9.91),0.003381 Ether ($5.62),0.000000161 Ether (161 Gwei),"21,000","21,000 (100%)"
16,0x8ce0877135606e977df2f79171e27e9052da78697dac49761c902964b36d348c,Success,Confirmed within 3 mins:47 secs,0.005957 Ether ($9.91),0.003381 Ether ($5.62),0.000000161 Ether (161 Gwei),"21,000","21,000 (100%)"
17,0xf9d50899e5c7f1a20fa9302baef564d6aa6780dc1c48100ec8b16c506ec726f8,Success,Remove,0 Ether ($0.00),0.00663658106014 Ether ($11.04),0.000000161000001459 Ether (161.000001459 Gwei),"60,000","41,221 (68.7%)"
18,0x62ec3523348859da53143a240f329660599a18b03af47a753baa3f68bd431dcc,Success,Confirmed within 22 secs,0 Ether ($0.00),0.00663464906012 Ether ($11.04),0.000000161000001459 Ether (161.000001459 Gwei),"60,000","41,209 (68.68%)"
19,0x2d721dc4590a824b2467cc6aec5d19b9d72e53b9a03df39b31052b92b939f885,Success,Remove,0 Ether ($0.00),0.00663464906012 Ether ($11.05),0.000000161000001459 Ether (161.000001459 Gwei),"60,000","41,209 (68.68%)"
20,0x510886680c3210b1608450dfb7339517fe94d6efe7e5c55776523a8ee8540f7a,Success,Confirmed within 23 secs,0 Ether ($0.00),0.00421964903823 Ether ($7.03),0.000000161000001459 Ether (161.000001459 Gwei),"60,000","26,209 (43.68%)"
21,0x811b621e46dd293413628bce5d57217f9488036d8d4599f60d38ae80bf5670ad,Success,Confirmed within 34 secs,0 Ether ($0.00),0.00827121407495 Ether ($13.78),0.000000161000001459 Ether (161.000001459 Gwei),"60,000","51,374 (85.62%)"
22,0x7ea2e45395178f44fe540f17b1c8e55175b64cdc7d39d48452e21423cae6008e,Success,Confirmed within 54 secs,0 Ether ($0.00),0.00663658106014 Ether ($11.05),0.000000161000001459 Ether (161.000001459 Gwei),"60,000","41,221 (68.7%)"
23,0xf0906c7e66eeefac843e56d3cca7085bf1229d4e10e6ae028c453a2538edccc6,Success,Confirmed within 22 secs,0 Ether ($0.00),0.00844894807609 Ether ($14.07),0.000000162000001459 Ether (162.000001459 Gwei),"60,000","52,154 (86.92%)"
24,0x3a1348ec2aaf457adc01a96db881406513f3270c7f0cbe6edfa8a7bdaff90445,Success,Confirmed within 54 secs,0 Ether ($0.00),0.00598565805424 Ether ($9.97),0.000000161000001459 Ether (161.000001459 Gwei),"60,000","37,178 (61.96%)"
25,0x3380169f4a23a05db822887333607482ba411b3d44a041cc9fabbd26f3c440ce,Success,Confirmed within 2 mins:21 secs,0 Ether ($0.00),0.00663464906012 Ether ($11.05),0.000000161000001459 Ether (161.000001459 Gwei),"60,000","41,209 (68.68%)"
26,0x6b5efdb7812a1456394572cf5ab13f0d3b676e156d982dd45bcbbabd9eca5add,Success,Confirmed within 2 mins:46 secs,0 Ether ($0.00),0.00663464906012 Ether ($11.05),0.000000161000001459 Ether (161.000001459 Gwei),"60,000","41,209 (68.68%)"
27,0xf2377945e3c4b1959847f9b90ee72e204259cc87fd9f6716928d438340ed7952,Success,Confirmed within 2 mins:57 secs,0 Ether ($0.00),0.00663658106014 Ether ($11.05),0.000000161000001459 Ether (161.000001459 Gwei),"60,000","41,221 (68.7%)"
28,0x8c532698f0c4492d3f9c1ee6fd436079b5b4d1fdba54afc900d50cddb17d80df,Success,Confirmed within 3 mins:16 secs,0 Ether ($0.00),0.00358321603247 Ether ($5.97),0.000000161000001459 Ether (161.000001459 Gwei),"60,000","22,256 (37.09%)"
29,0x0c538f199cd460e49a80659738d17b1beb05057f67b7db6fdf2852208aa9c8bc,Fail,Confirmed within 3 mins:25 secs,0 Ether ($0.00),0.00980248508883 Ether ($16.33),0.000000161000001459 Ether (161.000001459 Gwei),"60,885","60,885 (100%)"
30,0x7a507488d484e2ec7c8f451f1f47078b56fec094c21ec24e852b1e85be7af19c,Success,Confirmed within 3 mins:53 secs,0 Ether ($0.00),0.04953168414915 Ether ($82.50),0.000000161000111 Ether (161.000111 Gwei),"331,604","307,650 (92.78%)"
31,0x843cc1e10f7c363521c7276c41b0c64eef356cfd50efbc7baa345dd4b531f0a1,Success,Confirmed within 7 secs,0 Ether ($0.00),0.00824815599567 Ether ($13.74),0.00000016162713583 Ether (161.62713583 Gwei),"420,000","51,032 (12.15%)"
32,0x93eb1c68b6a09fec40f06743c863af14dfb751e327eb7de07e611566b6ce88f8,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0066634953 Ether ($11.10),0.0000001617 Ether (161.7 Gwei),"61,209","41,209 (67.33%)"
33,0x44fea9f747cf5dc970f57c5986e64310594662ee0ecaf63706e55d25159a7d37,Success,Confirmed within 30 secs,0.008 Ether ($13.33),0.003423 Ether ($5.70),0.000000163 Ether (163 Gwei),"50,000","21,000 (42%)"
34,0x5230a3565d26ee572efdebcbe91772486b15021497804229746392f92ed0c6d5,Success,Confirmed within 30 secs,0.2 Ether ($332.63),0.003423 Ether ($5.69),0.000000163 Ether (163 Gwei),"21,000","21,000 (100%)"
35,0x571e8a0778ab8a5a71095f02b6c645f525ca87b252102d5f564d51740616687f,Success,Confirmed within 30 secs,0 Ether ($0.00),0.009162067082 Ether ($15.24),0.000000163000001459 Ether (163.000001459 Gwei),"60,000","56,209 (93.68%)"
36,0x89105dc031434b89f0fd6284b451fc1853ff4335c6281e8ddf214ff195a1124e,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0365024808 Ether ($60.71),0.0000001637 Ether (163.7 Gwei),"310,422","222,984 (71.83%)"
37,0x677be641ef15990fbea9ebbe843c91edccb720d107d31f9199cfeab4a8ecd8e4,Success,Remove,0.175 Ether ($291.05),0.003444 Ether ($5.73),0.000000164 Ether (164 Gwei),"21,000","21,000 (100%)"
38,0x29f709cce10dcb67aab1dab4bfbac0fa860d74fbd8d996523a8733c9e9c954b4,Success,Remove,0.022447123702966241 Ether ($37.33),0.003444 Ether ($5.73),0.000000164 Ether (164 Gwei),"21,000","21,000 (100%)"
39,0xa830e7e3e675b7cc015c2b028975ce8279e8692070ca78fc06bad58e2eafb562,Success,Remove,0 Ether ($0.00),0.016853952 Ether ($28.03),0.000000164 Ether (164 Gwei),"119,782","102,768 (85.8%)"
40,0xdf568088ba3b832fedd1d9fcf318bb229583ebb0ca3e4337c7ab3b7e5cdf7227,Success,Confirmed within 30 secs,0 Ether ($0.00),0.024234375 Ether ($40.30),0.000000165 Ether (165 Gwei),"1,000,000","146,875 (14.69%)"
