,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0x32908c190416a5209cb18691adbac61b11bd0b11cded142bf9cbc829495f9d62,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00831818 Ether ($14.27),0.00000023 Ether (230 Gwei),"420,000","36,166 (8.61%)"
1,0x8bef8ef3653c2b2307ac7286e49f479b03f420eb75abf3c05cf715257068459e,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00847021 Ether ($14.53),0.00000023 Ether (230 Gwei),"420,000","36,827 (8.77%)"
2,0x1fc6ecc39d092e110d07714a6086e09b43ed68ef6042c82dade35c50c972a121,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00948083 Ether ($16.26),0.00000023 Ether (230 Gwei),"420,000","41,221 (9.81%)"
3,0xe72f9b54cf99cf83255d0921c003fd0ece3a5a9ddf6c72227c60d25214adbdda,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 30 secs,0 Ether ($0.00),0.00786786 Ether ($13.47),0.000000231 Ether (231 Gwei),"209,773","34,060 (16.24%)"
4,0x9a3aa5b90681b30c5dc812ab16a0f16b144e58654aa4cbdee450c49d78b38f5c,Success,Confirmed within 30 secs,"80.24441927 Ether ($137,345.55)",0.004914 Ether ($8.41),0.000000234 Ether (234 Gwei),"21,000","21,000 (100%)"
5,0xdbee389ea99c7cb58819970a76506e18811ffa5d73759dd346c65215ec4dda62,Success,Remove,0.15 Ether ($256.74),0.004914 Ether ($8.41),0.000000234 Ether (234 Gwei),"100,000","21,000 (21%)"
6,0x2c4344f4fa98e856cd636ba7af77ac25e57f1113ee537698fa07c411d94ddcf7,Success,Confirmed within 30 secs,0 Ether ($0.00),0.008512686 Ether ($14.57),0.000000234 Ether (234 Gwei),"105,000","36,379 (34.65%)"
7,0x5657a39464fb77ae36fbc374a12a5a27d53a8e0468ddb655abc4be0693cac961,Success,Confirmed within 30 secs,0 Ether ($0.00),0.012941604 Ether ($22.15),0.000000234 Ether (234 Gwei),"100,000","55,306 (55.31%)"
8,0xaa532a5913e160ff2068af3e589e95fe7c879c0e6911854540f363175ea5d7ee,Success,Confirmed within 30 secs,0.11131324 Ether ($190.68),0.004914 Ether ($8.42),0.000000234 Ether (234 Gwei),"100,000","21,000 (21%)"
9,0xccf991f1f09135e94d2f52eb25cf229abea56b5885fce1efc8a4e178a5a23e11,Success,Confirmed within 30 secs,0 Ether ($0.00),0.02414555000009 Ether ($41.36),0.000000242000000001 Ether (242.000000001 Gwei),"600,000","99,775 (16.63%)"
10,0x7f2bea28b6a6c993599f9213eccdd2b0f3dd144720dd745d2ef095a11eac6d9f,Success,Confirmed within 30 secs,0.043848 Ether ($75.11),0.006249264 Ether ($10.71),0.000000294 Ether (294 Gwei),"90,000","21,256 (23.62%)"
11,0x23b088daccfe1c3dde47cdd3e2bf94b3044628097ccd9daf6bea870270480371,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0088107684 Ether ($15.09),0.0000002436 Ether (243.6 Gwei),"120,000","36,169 (30.14%)"
12,0x2bcc2be86323296fe4535796a9ddfbe3cf18555318237f930d11c9efaab770a1,Success,Confirmed within 30 secs,0 Ether ($0.00),0.026318072 Ether ($45.08),0.000000253 Ether (253 Gwei),"250,000","104,024 (41.61%)"
13,0xa745745affe70718e39252986f3307275023c481e722dae6fc9614903de5ab99,Success,Confirmed within 1 min,0.0848 Ether ($145.26),0.005319585894 Ether ($9.11),0.000000253313614 Ether (253.313614 Gwei),"60,000","21,000 (35%)"
14,0xca1d682b5758b7750e52cd9ffd6f3b6d89ff3fe57321ca4230d22318a1cb237c,Success,Confirmed within 30 secs,0 Ether ($0.00),0.08689087814899 Ether ($148.79),0.000000298078847041 Ether (298.078847041 Gwei),"663,006","291,503 (43.97%)"
15,0xa03eeeae501e54ae66251daa4b612186222ac20dfe5a96fd4ca9d5b3157daf09,Success,Confirmed within 30 secs,0 Ether ($0.00),0.01742851 Ether ($29.84),0.00000031 Ether (310 Gwei),"100,000","56,221 (56.22%)"
16,0x76d9e5135d8ddfac4046cdfb345fcddab77ba909524dd55261e8a01bac83e519,Success,Confirmed within 30 secs,0.183 Ether ($313.36),0.00699999999999 Ether ($11.99),0.000000333333333333 Ether (333.333333333 Gwei),"21,000","21,000 (100%)"
17,0x8d147c736cd8f9b1797df2698c38c7f9e757b75c4cb7cd1354f409d79657fd4f,Success,Confirmed within 30 secs,0.046597710000007 Ether ($79.79),0.00699999999999 Ether ($11.99),0.000000333333333333 Ether (333.333333333 Gwei),"21,000","21,000 (100%)"
18,0x8449e8c935b58677a50e7ca9c67a1ffc5ac21a77b8ede23e344027a53b167311,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0070900263264 Ether ($12.14),0.000000336978437567 Ether (336.978437567 Gwei),"685,342","21,040 (3.07%)"
19,0xa9e070262ed9bc3baa99b5f084d0863d53c49f5938aede4ae8de355ba175df2d,Success,Confirmed within 30 secs,0 Ether ($0.00),0.01022492113322 Ether ($17.51),0.0000003821400431 Ether (382.1400431 Gwei),"210,000","26,757 (12.74%)"
20,0xcdcc56e75a36d6c6dc0b8c09a850440f71e6630232d54b83fd53c213f1526ad9,Success,Confirmed within 30 secs,0 Ether ($0.00),0.01466770373109 Ether ($25.08),0.000000698462082433 Ether (698.462082433 Gwei),"400,000","21,000 (5.25%)"
21,0x4df7786f2fce853f5927d3c44c49a96f0c11ffaceb7c91d3dbeac62f71da078b,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0872448319225 Ether ($149.19),0.000000883975357892 Ether (883.975357892 Gwei),"500,000","98,696 (19.74%)"
22,0x18652dee4bc069c0a624eaac05ea7ea27ebd09a7dfc7f6e398b614a2742406da,Success,Remove,"0.99748 Ether ($1,705.75)",0.003486 Ether ($5.96),0.000000166 Ether (166 Gwei),"21,000","21,000 (100%)"
23,0x3646a7dcf7f50fad7863f9d12786a66551f1f9e8b07aa7351222d75256b1088a,Success,Remove,0 Ether ($0.00),0.009328702 Ether ($15.95),0.000000166 Ether (166 Gwei),"80,000","56,197 (70.25%)"
24,0x75d237b1a05f02c5120e725becf59935b22a10f33e85232110a7aeb3b0ecc9d3,Success,Confirmed within 1 min:6 secs,0 Ether ($0.00),0.015239298 Ether ($26.06),0.000000166 Ether (166 Gwei),"150,000","91,803 (61.2%)"
25,0xa3e2d4b2b31d3203dd774d34ba09ad2d7ffb65f8558f5259de5d648eea117df7,Success,Confirmed within 1 min:12 secs,0 Ether ($0.00),0.006096682 Ether ($10.43),0.000000166 Ether (166 Gwei),"121,000","36,727 (30.35%)"
26,0x0e43ef47649ab7f4236f000eb7192f8dc6f5448dca6a5f13a9196dfbd0cd20b7,Success,Confirmed within 1 min:7 secs,0 Ether ($0.00),0.00739115 Ether ($12.64),0.000000166 Ether (166 Gwei),"48,977","44,525 (90.91%)"
27,0xf13f42e873acf9f8de808fda80d80e352514880cd6a0d18320a2606712603976,Success,Confirmed within 1 min:7 secs,0 Ether ($0.00),0.007514488 Ether ($12.85),0.000000166 Ether (166 Gwei),"67,902","45,268 (66.67%)"
28,0x66612f95695cfcf5bad854fbea5b336c38e7fe47fc53d68f941772d79d511b5d,Success,Confirmed within 1 min:12 secs,0 Ether ($0.00),0.02613919 Ether ($44.70),0.000000166 Ether (166 Gwei),"201,258","157,465 (78.24%)"
29,0xf78884c837213cff2ff18b415be6361af00d1a820c534fc1ebec40dda4b2c7b4,Success,Confirmed within 1 min:12 secs,0 Ether ($0.00),0.02149949 Ether ($36.77),0.000000166 Ether (166 Gwei),"170,276","129,515 (76.06%)"
30,0x03c490c5008f55ec3f6bedc175dfca012ec6af59c5670e06fad82c298fdbeb12,Success,Confirmed within 1 min:12 secs,0 Ether ($0.00),0.011961296 Ether ($20.45),0.000000166 Ether (166 Gwei),"500,000","72,056 (14.41%)"
31,0xfb4074a007bb771b494a7c853e0621467239c9b024dc63d5bf3b00dc1568f313,Success,Confirmed within 1 min:12 secs,0 Ether ($0.00),0.007296032 Ether ($12.48),0.000000166 Ether (166 Gwei),"43,952","43,952 (100%)"
32,0xaa090673acb15805542bae9cc91d39dac3dbf8db41573dbf035c0b276500973a,Success,Confirmed within 1 min:12 secs,0 Ether ($0.00),0.007510836 Ether ($12.83),0.000000166 Ether (166 Gwei),"67,869","45,246 (66.67%)"
33,0x12972595d305cde803060e8305aeca3c502dd897c0513482d036e0f5b2263aac,Success,Confirmed within 1 min:17 secs,0 Ether ($0.00),0.00736708 Ether ($12.59),0.000000166 Ether (166 Gwei),"48,818","44,380 (90.91%)"
34,0x754b5b8433bd17c9a5176dbf70fb8c19bf06cbb2acdde164f85146b6c9a708c3,Success,Confirmed within 1 min:17 secs,0 Ether ($0.00),0.006840694 Ether ($11.69),0.000000166 Ether (166 Gwei),"210,000","41,209 (19.62%)"
35,0xc4f57dd67dd45b919838302b738dad56c2f74fe632ed6cd7acc63a7a5c665119,Success,Confirmed within 1 min:17 secs,0.022618291 Ether ($38.65),0.003486 Ether ($5.96),0.000000166 Ether (166 Gwei),"21,000","21,000 (100%)"
36,0xb30914ad71d8825a467e8a67ef20b96a687b2d47d322a512741e0e9184bf7277,Success,Confirmed within 1 min:17 secs,0 Ether ($0.00),0.014382572 Ether ($24.57),0.000000166 Ether (166 Gwei),"130,485","86,642 (66.4%)"
37,0xe2dae680cf68385aefb8290f603dcbd749a71188982242cd727fabaea40556db,Success,Remove,0 Ether ($0.00),0.018087028 Ether ($30.90),0.000000166 Ether (166 Gwei),"123,958","108,958 (87.9%)"
38,0x16ddad0addfee5893ab73ccb5dde1c57952ab7d1a0b922c611bfd1b841be31fe,Success,Remove,0 Ether ($0.00),0.009330694 Ether ($15.94),0.000000166 Ether (166 Gwei),"80,000","56,209 (70.26%)"
39,0xec5bd91f8c1236da7cc9765e77b2a2f503d41bae9546b2efc7f5d4c788089293,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 1 min:23 secs,"1.1 Ether ($1,879.74) - [CANCELLED]  ",0.00479159 Ether ($8.19),0.000000166 Ether (166 Gwei),"164,916","28,865 (17.5%)"
40,0x6de335c922980719fa9c6d5c5dd2bf19681d51c2ea95d20e0aa72b3fa51ea7a4,Success,Confirmed within 1 min:24 secs,0 Ether ($0.00),0.00603327 Ether ($10.31),0.000000166 Ether (166 Gwei),"382,872","36,345 (9.49%)"
41,0xc6158e79d9ac5b9a3e3d1824b0716f8571f22b10b45554757cb1bb82cc8d0647,Success,Confirmed within 1 min:23 secs,0 Ether ($0.00),0.006058834 Ether ($10.35),0.000000166 Ether (166 Gwei),"479,646","36,499 (7.61%)"
42,0x4f6cb5cd27b389d4c79af29cc05658a173243337e975148811b0a7394744f22a,Success,Confirmed within 1 min:23 secs,0 Ether ($0.00),0.010435258 Ether ($17.83),0.000000166 Ether (166 Gwei),"650,000","62,863 (9.67%)"
43,0x9efa1b4db982f5a49580e0046d83dec133f0439855b98db37b9fecd8086b19a2,Success,Confirmed within 1 min:24 secs,0 Ether ($0.00),0.012280016 Ether ($21.01),0.000000166 Ether (166 Gwei),"500,000","73,976 (14.8%)"
44,0xe402fb89797113feaf350c000a6e96d85d336e0a4c52d845eb78b3fa5ab6a3fb,Success,Confirmed within 1 min:24 secs,0 Ether ($0.00),0.005879222 Ether ($10.06),0.000000166 Ether (166 Gwei),"1,170,500","35,417 (3.03%)"
45,0xb5cf0c72372d59c3fa73f5516fc0f53b6377c7a18476161001481c39726f73a4,Success,Confirmed within 1 min:23 secs,0 Ether ($0.00),0.005879222 Ether ($10.06),0.000000166 Ether (166 Gwei),"1,171,000","35,417 (3.02%)"
46,0x3222bdb596ee4a8fa6812c59fc508010dfa4702ea38fb15909710811c93bcf71,Success,Confirmed within 1 min:24 secs,0 Ether ($0.00),0.005879222 Ether ($10.06),0.000000166 Ether (166 Gwei),"1,170,500","35,417 (3.03%)"
47,0x91537ea563a1fee738a14980106feeab642a44b5727cc29c7d0ec2c752c04463,Success,Confirmed within 1 min:24 secs,0 Ether ($0.00),0.01060491 Ether ($18.14),0.000000166 Ether (166 Gwei),"544,460","63,885 (11.73%)"
48,0xa0721b84e6d9655514c2f9abc51a00808d8a8a36aaa1e78b45e1a4e379a6fff7,Success,Remove,0 Ether ($0.00),0.01164739 Ether ($19.93),0.000000166 Ether (166 Gwei),"726,000","70,165 (9.66%)"
49,0xe72e15586ac80641b16809ccf33e7dfc036d5e13979e5736834a5b782705550f,Success,Confirmed within 1 min:23 secs,0 Ether ($0.00),0.01039741 Ether ($17.78),0.000000166 Ether (166 Gwei),"600,000","62,635 (10.44%)"
