,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0x528ac26f34df58d0b64e78fdd3039fc8f19d12f1b60cb46b222cc045baf393d5,Success,Confirmed within 30 secs,0 Ether ($0.00),0.007953337 Ether ($13.67),0.000000193 Ether (193 Gwei),"300,000","41,209 (13.74%)"
1,0xd16426b5d1c14995374e5bb60cfb8d1578b7f1d2d7795ddf5c3fc3307373c767,Success,Confirmed within 30 secs,0 Ether ($0.00),0.027503079 Ether ($47.27),0.000000193 Ether (193 Gwei),"142,503","142,503 (100%)"
2,0x543fd32e43ee75645e4aecc37556e46f624aa2850d50c81cba874d9b05c47dea,Success,Confirmed within 30 secs,0 Ether ($0.00),0.010846021 Ether ($18.64),0.000000193 Ether (193 Gwei),"56,221","56,197 (99.96%)"
3,0x4a19f29720f4d1d5406e23008ad1ef6b928f57aee7ac81eace1261c5d1ec31d0,Success,Confirmed within 30 secs,0 Ether ($0.00),0.007955653 Ether ($13.67),0.000000193 Ether (193 Gwei),"56,221","41,221 (73.32%)"
4,0x06a4fed46bf778650336122bd224211c044e4d78fe446575b84d88b136394236,Success,Confirmed within 30 secs,0.054373684787337983 Ether ($93.46),0.0040572 Ether ($6.97),0.0000001932 Ether (193.2 Gwei),"50,000","21,000 (42%)"
5,0xf0365115785820fbfc0538eb7900a267705968af8709dcedc8d58e38a307d3ab,Success,Confirmed within 30 secs,0.07 Ether ($120.32),0.0040824 Ether ($7.02),0.0000001944 Ether (194.4 Gwei),"110,000","21,000 (19.09%)"
6,0x6597c9fd2cf2b2a8ebff7c579831c6964c6a7d26b43a6e4b4e525f7f76d546bf,Success,Confirmed within 30 secs,"1.55312061 Ether ($2,669.57)",0.00412776 Ether ($7.09),0.00000019656 Ether (196.56 Gwei),"21,000","21,000 (100%)"
7,0x9d9cdf053ea9cf0f4def4bd60d548c8f73955d1795b5598fc18f8802cdaa441a,Success,Confirmed within 30 secs,"77.30772436053000192 Ether ($132,879.61)",0.00412965966722 Ether ($7.10),0.000000196650460344 Ether (196.650460344 Gwei),"260,000","21,000 (8.08%)"
8,0x011b5277677261364eb1fcf622fc69aa6575fdedbc3f7569e052e8b73fd450a7,Success,Confirmed within 30 secs,0 Ether ($0.00),0.007394508 Ether ($12.71),0.000000198 Ether (198 Gwei),"200,000","37,346 (18.67%)"
9,0xaf2b854724e24a7cc865f3acdfb2cf843ca5c1cf3c2dabd02030dccc1bfe8acc,Success,Confirmed within 30 secs,0 Ether ($0.00),0.010431432 Ether ($17.92),0.000000198 Ether (198 Gwei),"200,000","52,684 (26.34%)"
10,0x538b8557b946671d899eb775e5e3ca4f9f8703f304cef515d2441483ee9f6e41,Success,Confirmed within 30 secs,0 Ether ($0.00),0.007612902 Ether ($13.08),0.000000198 Ether (198 Gwei),"200,000","38,449 (19.22%)"
11,0x7c4ce712ee659106d7499e0fc859aec711590731d180f7b25e2a1949d46d0433,Success,Confirmed within 30 secs,0 Ether ($0.00),0.007612902 Ether ($13.08),0.000000198 Ether (198 Gwei),"200,000","38,449 (19.22%)"
12,0x9f9efd3561170f95f974042dae11159b854fcdf041be1d3e711293be0f6c2baa,Success,Confirmed within 1 min,"22.479263264017043456 Ether ($38,618.70)",0.00417795966722 Ether ($7.18),0.000000198950460344 Ether (198.950460344 Gwei),"260,000","21,000 (8.08%)"
13,0x07e8a66d20e02cddf140bc2e3428e081615997c31aba2293fedb15ac5ee9b64e,Success,Remove,0 Ether ($0.00),0.0054636 Ether ($9.39),0.0000002 Ether (200 Gwei),"68,781","27,318 (39.72%)"
14,0xe4b15e5b670f7183d5d1880f154ceb278ade7f11cf6081971d4ca663f477706a,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0072004 Ether ($12.37),0.0000002 Ether (200 Gwei),"79,648","36,002 (45.2%)"
15,0xf91f39df2be13c1c5fe10c33230b64e2db7cda3c5b28ed9d3ce744f0697d5181,Success,Confirmed within 30 secs,0.12 Ether ($206.16),0.0042 Ether ($7.22),0.0000002 Ether (200 Gwei),"25,200","21,000 (83.33%)"
