,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0x03106c7e6e55dd206d8967e1eb40c9d03008e99dc86a75429d378ff2210e86db,Success,Confirmed within 30 secs,0 Ether ($0.00),0.021984512 Ether ($39.06),0.000000148 Ether (148 Gwei),"1,000,000","148,544 (14.85%)"
1,0x8e6736b8f8e4cca17bc76b2305a38d412fa9c9a4cbd9e426d7187dfcd78f483a,Fail,Confirmed within 30 secs,0 Ether ($0.00),0.004794312 Ether ($8.52),0.000000148 Ether (148 Gwei),"740,000","32,394 (4.38%)"
2,0x9b62335e2637c457e7d25d9d737ecad230a162628224ea25ba8836d65f006018,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00465238 Ether ($8.27),0.000000148 Ether (148 Gwei),"291,823","31,435 (10.77%)"
3,0x380ca899a7275ed9ae3746168a762fac740e4184ebcf0abab17c15cd80e8618b,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00466126 Ether ($8.28),0.000000148 Ether (148 Gwei),"285,412","31,495 (11.03%)"
4,0xcedc5e1a5da46d646ffbc0e7ff50906c590e3bb6ca627ddb8cf6a9cd61b22a5d,Success,Confirmed within 30 secs,0 Ether ($0.00),0.004644536 Ether ($8.25),0.000000148 Ether (148 Gwei),"291,770","31,382 (10.76%)"
5,0x473c9bd907b9689adfe11f30eb0fd33fb101c394fbb132ed36e86f861b74a6bd,Success,Remove,0 Ether ($0.00),0.033232216 Ether ($59.04),0.000000148 Ether (148 Gwei),"391,617","224,542 (57.34%)"
6,0x5c83ff1aef26e9f4f039871a8738bc1c9c5bebf2fd43a2ecefa0ceb8ffb45b7a,Success,Confirmed within 30 secs,0 Ether ($0.00),0.005847628 Ether ($10.39),0.000000148 Ether (148 Gwei),"441,929","39,511 (8.94%)"
7,0xf4ebd54850eb1a8cad466e906c5d89dfdfc09b00211a1553bdf3844749deebc3,Success,Remove,0 Ether ($0.00),0.004763232 Ether ($8.46),0.000000148 Ether (148 Gwei),"306,778","32,184 (10.49%)"
8,0xe0b773ac6f86bb1514188d692aa7e6ecde9817230c91c387012d3b5c04aab5c5,Success,Confirmed within 30 secs,0 Ether ($0.00),0.004257516 Ether ($7.57),0.000000148 Ether (148 Gwei),"1,170,600","28,767 (2.46%)"
9,0xacf6254663d88271ca7765473a41c7cfd7257d255759ec4d0b5a0f2d31cea80a,Success,Confirmed within 30 secs,0 Ether ($0.00),0.005396524 Ether ($9.59),0.000000148 Ether (148 Gwei),"600,000","36,463 (6.08%)"
10,0x6c78dbbe1b4ceaaab4a3e92f17f167149424f9d0918d421cbda50d31f24b6ce8,Success,Confirmed within 30 secs,0 Ether ($0.00),0.004840192 Ether ($8.60),0.000000148 Ether (148 Gwei),"500,000","32,704 (6.54%)"
11,0xfdd69548896efa58c95a394dfb80dcf1ebb0effab92024920e937006f1abb6a1,Fail,Confirmed within 30 secs,0 Ether ($0.00),0.004794312 Ether ($8.52),0.000000148 Ether (148 Gwei),"740,000","32,394 (4.38%)"
12,0x2ef47c08dea6903e4d074c02c54914a5bfeea9f32240d26aaedb2b629f0a0df2,Success,Confirmed within 30 secs,0 Ether ($0.00),0.004259144 Ether ($7.57),0.000000148 Ether (148 Gwei),"1,171,000","28,778 (2.46%)"
13,0x7873f5130e61be040271a5ee0b60dcb8625f5e2b97745f25b66cf86fb5f046c7,Success,Remove,0 Ether ($0.00),0.006553144 Ether ($11.64),0.000000148 Ether (148 Gwei),"442,927","44,278 (10%)"
14,0x2365b853047a13bfc98ea85c5df377b2c2742ac9606bdffbc8c415c52547555e,Success,Confirmed within 30 secs,0 Ether ($0.00),0.005500124 Ether ($9.77),0.000000148 Ether (148 Gwei),"304,640","37,163 (12.2%)"
15,0xdb46495e8d2e6a14d9252b01f839375f8228a16e7c44a4fabe84ce03bd8a15dd,Success,Remove,0 Ether ($0.00),0.004965844 Ether ($8.82),0.000000148 Ether (148 Gwei),"699,921","33,553 (4.79%)"
16,0x7e270e22f9f3ca6688b331a2a4fdb8d072944ef49a7934f8710586a82ddbfcc5,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00645354 Ether ($11.46),0.000000148 Ether (148 Gwei),"439,075","43,605 (9.93%)"
17,0x01c8cd2e5f87e9b9af184915a228607fff18809d37edeca52370608173558015,Success,Remove,0 Ether ($0.00),0.006446732 Ether ($11.45),0.000000148 Ether (148 Gwei),"444,579","43,559 (9.8%)"
18,0x3ac10ec2c7729328e5d7dd20fde04a5540b2544118ba40b01566568b14fe3072,Success,Remove,0 Ether ($0.00),0.029063648 Ether ($51.63),0.000000148 Ether (148 Gwei),"1,000,000","196,376 (19.64%)"
19,0xafb466f3671208a0a3684455a5092f75d9c9483a970e6bbb9c2eb9e12a810d6d,Success,Remove,15 wei (< $0.000001),0.004546856 Ether ($8.08),0.000000148 Ether (148 Gwei),"350,000","30,722 (8.78%)"
20,0x99bbf2459c9b327383ca225e10d50aa357f928627386147dbe788d1a87b4b4dd,Success,Remove,0 Ether ($0.00),0.00636104 Ether ($11.30),0.000000148 Ether (148 Gwei),"1,000,000","42,980 (4.3%)"
21,0x91c2f24b13b9491364d1c040a28255c01e775e58fb3f9188e5c392711981bdb5,Success,Remove,0 Ether ($0.00),0.025102132 Ether ($44.59),0.000000148 Ether (148 Gwei),"350,000","169,609 (48.46%)"
22,0xb97f8de6687e2d7fc79c022d6289757ec9d2945d58bcd37248e2af5ebdef3313,Success,Confirmed within 30 secs,0 Ether ($0.00),0.024686844 Ether ($43.85),0.000000148 Ether (148 Gwei),"211,304","166,803 (78.94%)"
23,0x6cb170a79f33b27ade5e40492c9277cbae9ead5f71d34a933bceb9156c2d83da,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00636104 Ether ($11.30),0.000000148 Ether (148 Gwei),"1,000,000","42,980 (4.3%)"
24,0x15a6d86b9f4a5931c7a194a87d77465bf0bafd0456851ed22028726518925766,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00610070806014 Ether ($10.84),0.000000148000001459 Ether (148.000001459 Gwei),"60,000","41,221 (68.7%)"
25,0x9b0f1ddd1d44bb6ea4b8bc328be599770232ba7b98a66c69ff0085a3552cdca1,Success,Confirmed within 30 secs,0.08699147 Ether ($154.53),0.003129 Ether ($5.56),0.000000149 Ether (149 Gwei),"21,000","21,000 (100%)"
26,0xe32bf5ca3856f0db53ebd1fb78639c3be3f2ee6818aa57439b91d79294e63776,Success,Confirmed within 30 secs,0 Ether ($0.00),0.008375141 Ether ($14.88),0.000000149 Ether (149 Gwei),"56,209","56,209 (100%)"
27,0xf8d8bc442e21740cdc5a52d0ae81628da1459acece2a79ebbc469be66530250d,Success,Confirmed within 30 secs,0 Ether ($0.00),0.019936498 Ether ($35.41),0.000000149 Ether (149 Gwei),"191,492","133,802 (69.87%)"
28,0x607021fac9a8c6e46597733621f3202093897b59aed5d464ed50d04c234b2e1b,Success,Confirmed within 30 secs,0 Ether ($0.00),0.008052705 Ether ($14.30),0.000000149 Ether (149 Gwei),"200,000","54,045 (27.02%)"
29,0x71ac44d4c25325481ce875400537f241a5bef762430e56c8dc54f5eb4388bdcf,Success,Confirmed within 30 secs,0 Ether ($0.00),0.007421839 Ether ($13.18),0.000000149 Ether (149 Gwei),"55,181","49,811 (90.27%)"
30,0x5322140568162a17be3e9ee3fae5ca3801b0f271aefb2b568e9fc32b0244e989,Success,Confirmed within 30 secs,0 Ether ($0.00),0.014769625 Ether ($26.24),0.000000149 Ether (149 Gwei),"99,125","99,125 (100%)"
31,0x346ff43c2d22a0428d5d87ddd641753bfa4d6432a29afa3e84b5e1eed4fed5ed,Fail with error 'UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT',Confirmed within 30 secs,0 Ether ($0.00),0.00508388 Ether ($9.03),0.000000149 Ether (149 Gwei),"201,829","34,120 (16.91%)"
32,0xccf6ac50e09a9050449bed53d18d627a9306b4e15397c3c9739b9cd255e1c73f,Success,Confirmed within 30 secs,0.5 Ether ($889.91),0.026651183 Ether ($47.43),0.000000149 Ether (149 Gwei),"251,452","178,867 (71.13%)"
33,0x80c3245d53843d156f3fca89017d7bda363b86d0623c0eb6d3e6bb59ee045f68,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0293227968 Ether ($52.19),0.0000001496 Ether (149.6 Gwei),"213,958","196,008 (91.61%)"
34,0x929ee71547b60eae04548c5d3330d023709a612cb91298948ce7fdaf6b6134e1,Success,Confirmed within 30 secs,0.08 Ether ($142.39),0.0031416 Ether ($5.59),0.0000001496 Ether (149.6 Gwei),"21,000","21,000 (100%)"
35,0x6c27dde93e565d1803736b9ff2786a36c3f11b24d2cca6f62c10caf4636e037d,Success,Confirmed within 30 secs,0.2 Ether ($355.96),0.0061239 Ether ($10.90),0.00000015 Ether (150 Gwei),"70,000","40,826 (58.32%)"
36,0x016362495c39aad6478024b3e6110e69a627d10ccae0f3a85fa3b13ca132292e,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0039628008 Ether ($7.05),0.0000001512 Ether (151.2 Gwei),"41,209","26,209 (63.6%)"
37,0xa66c8a652cf95d463be1fa0782c5c07a7f1ed27c3ea2c40f2a8bc684c9347f67,Success,Confirmed within 30 secs,0.002294001124299993 Ether ($4.08),0.003192 Ether ($5.68),0.000000152 Ether (152 Gwei),"21,000","21,000 (100%)"
38,0xa35c02e0a5e0a9ea4b340e3c8631420705a0a72155795bf94ce307d44c3f699a,Success,Confirmed within 30 secs,0 Ether ($0.00),0.028106776 Ether ($50.03),0.000000152 Ether (152 Gwei),"225,519","184,913 (81.99%)"
39,0x557e8b4c809f05c8b4a1f6616f711f3343791f1cd637840f5f2c9f249d100b76,Success,Confirmed within 30 secs,0 Ether ($0.00),0.005725413 Ether ($10.19),0.000000153 Ether (153 Gwei),"37,421","37,421 (100%)"
40,0xa6b2af2ed97093a249f767149f08c1c0fc0dd557c3c81f3d4b5aeb3bb67d4cc8,Success,Confirmed within 30 secs,"3 Ether ($5,340.00)",0.003213 Ether ($5.72),0.000000153 Ether (153 Gwei),"21,000","21,000 (100%)"
41,0xa302ff84f5bc1af0ed6375760ed9a6278de71a8bd767ac29008997cc40bbcc87,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00630497706012 Ether ($11.22),0.000000153000001459 Ether (153.000001459 Gwei),"60,000","41,209 (68.68%)"
42,0x7982f9acb5e42aae5bf865fdd201cd8749619dc8a857d119dc26a46cef0eee54,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00633195781 Ether ($11.27),0.00000015361 Ether (153.61 Gwei),"60,000","41,221 (68.7%)"
43,0xee133be2af600618d38081ad3b3f3dcd00cc09995e48524962b47739a480c530,Success,Confirmed within 30 secs,"1.51399333 Ether ($2,694.91)",0.003234 Ether ($5.76),0.000000154 Ether (154 Gwei),"21,000","21,000 (100%)"
44,0x0bf9a631bdaf2db87236336715d524b7b9350b77befdd9f328232148e509afb3,Success,Confirmed within 30 secs,0.0003293 Ether ($0.59),0.003234 Ether ($5.76),0.000000154 Ether (154 Gwei),"210,000","21,000 (10%)"
45,0xb755b96f954cd07793e865fe76e8b84f6fa681f07b25a03321ecbcaf69ba4993,Success,Confirmed within 30 secs,0.02145876 Ether ($38.20),0.003234 Ether ($5.76),0.000000154 Ether (154 Gwei),"21,000","21,000 (100%)"
46,0x55306637e2e16b891103bc5654250f70807025d123852e99d202900d9cb51cb8,Success,Confirmed within 30 secs,0 Ether ($0.00),0.006972966 Ether ($12.41),0.000000154 Ether (154 Gwei),"67,918","45,279 (66.67%)"
47,0x7f9475c88a9dfb60a48cdaa8377bd6a9085654a5afbc46b2649f4f03e5322afb,Success,Confirmed within 30 secs,"1.003234 Ether ($1,785.76)",0.003234 Ether ($5.76),0.000000154 Ether (154 Gwei),"21,000","21,000 (100%)"
48,0xbbe4392770fa308988b21d88e3eb170d0b0507596d763c890722002e2cea6938,Success,Confirmed within 30 secs,0 Ether ($0.00),0.015658412 Ether ($27.87),0.000000154 Ether (154 Gwei),"500,000","101,678 (20.34%)"
49,0x1891af6cbc5c7cb1f4b6350da763b2c1a5a9ad166c4ff6c9dbfca9ac08292935,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00634803406434 Ether ($11.30),0.000000154000001561 Ether (154.000001561 Gwei),"60,000","41,221 (68.7%)"
