,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0xa0d4cc1adc067fa2cfed1c7fd1730a3cb06f3e341ff55b2e9f8e7d3701fe5818,Success,Confirmed within 30 secs,0 Ether ($0.00),0.007374276 Ether ($12.47),0.000000182 Ether (182 Gwei),"500,000","40,518 (8.1%)"
1,0x45e80bcc9cb2d031f92c8aab93528985c237de0cd674c00f3659c9f15b2ae831,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00735057297 Ether ($12.43),0.000000181415 Ether (181.415 Gwei),"500,000","40,518 (8.1%)"
2,0x114a3c4ac09aa04a02a44adcfd0d7e50bc6d296d45669296174ad55f9a64dcd3,Success,Confirmed within 30 secs,0 Ether ($0.00),0.008357375 Ether ($14.13),0.0000001807 Ether (180.7 Gwei),"500,000","46,250 (9.25%)"
3,0xdc7aba6b4136f3126d215839aaa158c45830d27dac62a3d759096d3c27c65c92,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0191837412575 Ether ($32.44),0.0000001814975 Ether (181.4975 Gwei),"500,000","105,697 (21.14%)"
4,0x1573375e5a18a91f5d906d49f7f42d51810be1ec682a9281458b2e455624e689,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0073606533 Ether ($12.45),0.00000018161 Ether (181.61 Gwei),"500,000","40,530 (8.11%)"
5,0xf7ce77b79cf3310d025a4e42bf22e28879a8b2c4251b1bde9bef5a24b928461c,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00889816356 Ether ($15.05),0.00000018161 Ether (181.61 Gwei),"500,000","48,996 (9.8%)"
6,0x6a170a9e0269f18d147f8b604cafe6041d0d2e97f5f607fcb5ec71addd979379,Success,Confirmed within 1 min,0 Ether ($0.00),0.008065876 Ether ($13.64),0.000000182 Ether (182 Gwei),"48,749","44,318 (90.91%)"
7,0xaa24552fdccf002f02f9fbe6bf2b5f928f22c521939ed42bdae4e1701b4ac95f,Success,Remove,0 Ether ($0.00),0.018689398 Ether ($31.60),0.000000182 Ether (182 Gwei),"500,000","102,689 (20.54%)"
8,0x34ff076dd3654a6815d3fa82ee7d4f13809bb751878544a11641b713aa234f8b,Success,Confirmed within 30 secs,0 Ether ($0.00),0.004061512 Ether ($6.87),0.000000182 Ether (182 Gwei),"38,127","22,316 (58.53%)"
9,0x0fd194d330d494c94594cfb3ef53f0e7e4dfb8de7708879995f797a1882fe79f,Success,Confirmed within 30 secs,0 Ether ($0.00),0.018650632 Ether ($31.53),0.000000182 Ether (182 Gwei),"132,476","102,476 (77.35%)"
