,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0x5d817d78da6a86aa5b6d548ad7246fdd034d7d2b9a61a467a97816daf6b3b9c5,Success,Confirmed within 30 secs,"1.32705 Ether ($2,324.90)",0.003696 Ether ($6.48),0.000000176 Ether (176 Gwei),"207,128","21,000 (10.14%)"
1,0x262a23a23fdb34ab08d9bded14ce179ece5bb2f7acf2d49e0cdfc85d279a17d5,Success,Confirmed within 30 secs,0.23419944 Ether ($410.30),0.003696 Ether ($6.48),0.000000176 Ether (176 Gwei),"207,128","21,000 (10.14%)"
2,0x8961a059a50ccb5d4897801760679cbf70168c45fbe572652e18568a8e210949,Success,Confirmed within 30 secs,0.4230173 Ether ($741.10),0.003696 Ether ($6.48),0.000000176 Ether (176 Gwei),"207,128","21,000 (10.14%)"
3,0x0bb6a523eb62f8cdf74541a9546ab6960cff63481cc92312454ce6cd4248fd62,Success,Confirmed within 30 secs,0.01105817 Ether ($19.37),0.003696 Ether ($6.48),0.000000176 Ether (176 Gwei),"207,128","21,000 (10.14%)"
4,0x887066047d61feb51bdf869e1aed6390d4201aadcf45bfd23599e0e699c95f83,Success,Confirmed within 30 secs,0.27308863 Ether ($478.43),0.003696 Ether ($6.48),0.000000176 Ether (176 Gwei),"207,128","21,000 (10.14%)"
5,0x71416cf66d077abc340c10d7d6ec90caad02a4ccd3f47334ff1617ab45b505bc,Success,Confirmed within 30 secs,0.19289022 Ether ($337.30),0.003696 Ether ($6.46),0.000000176 Ether (176 Gwei),"207,128","21,000 (10.14%)"
6,0x63ba4c15fc1aa07ed82741791c4bfb140ac8256e8091fc3a0fd9fb2543fcb9bd,Success,Confirmed within 30 secs,0 Ether ($0.00),0.010099056 Ether ($17.66),0.000000176 Ether (176 Gwei),"207,128","57,381 (27.7%)"
7,0x2d3dce57a45c6aa090b0a2f04cf03c7cb1294fab2459288b864c8d2c294a34e1,Success,Confirmed within 1 sec,0 Ether ($0.00),0.010099056 Ether ($17.66),0.000000176 Ether (176 Gwei),"207,128","57,381 (27.7%)"
8,0xee06b0e283fcb5afc1524ec35d8bfe936f76fc368dc909038352d28b813ef51d,Success,Confirmed within 1 sec,0.2552664 Ether ($446.37),0.003696 Ether ($6.46),0.000000176 Ether (176 Gwei),"207,128","21,000 (10.14%)"
9,0xf84896d05d4d3ce9e989b28c26689f256e1d325ec131d1f9638e8c949f0fe0cf,Success,Confirmed within 1 sec,0 Ether ($0.00),0.04409318205632 Ether ($77.10),0.000000183300001897 Ether (183.300001897 Gwei),"313,359","240,552 (76.77%)"
